cell_id,Zosterops virens,Zosterops virens capensis,Zosterops virens virens
82972ffffffffff,386.0,0.0,90.0
82ad17fffffffff,3.0,0.0,0.0
82ad37fffffffff,2894.0,938.0,0.0
82ad87fffffffff,2.0,0.0,0.0
82ada7fffffffff,17.0,0.0,0.0
82adb7fffffffff,4.0,0.0,0.0
82bc0ffffffffff,73.0,13.0,0.0
82bc1ffffffffff,161.0,6.0,5.0
82bc47fffffffff,694.0,181.0,0.0
82bc4ffffffffff,304.0,111.0,0.0
82bc57fffffffff,61.0,3.0,0.0
82bc5ffffffffff,7.0,2.0,0.0
82bc6ffffffffff,1353.0,395.0,0.0
82bc77fffffffff,187.0,24.0,0.0
82bc8ffffffffff,10.0,0.0,0.0
82bcc7fffffffff,1076.0,0.0,237.0
82bccffffffffff,10.0,0.0,0.0
82bcd7fffffffff,1146.0,0.0,303.0
82bcdffffffffff,382.0,0.0,87.0
82bce7fffffffff,1416.0,19.0,558.0
82bceffffffffff,4.0,0.0,0.0
82bcf7fffffffff,1236.0,2.0,178.0
