cell_id,Fulica americana,Fulica americana (Red-shielded),Fulica americana (White-shielded)
830d49fffffffff,1.0,0.0,0.0
830d4dfffffffff,9.0,0.0,0.0
830ec9fffffffff,4.0,4.0,0.0
830ecafffffffff,17.0,5.0,0.0
830ecbfffffffff,11.0,3.0,0.0
831201fffffffff,5.0,0.0,0.0
83120afffffffff,1.0,1.0,0.0
831218fffffffff,175.0,39.0,0.0
831219fffffffff,16.0,2.0,0.0
83121afffffffff,2.0,0.0,0.0
83121bfffffffff,84.0,2.0,0.0
83121efffffffff,73.0,20.0,0.0
831221fffffffff,3.0,0.0,0.0
831223fffffffff,2.0,0.0,0.0
831229fffffffff,3.0,0.0,0.0
83122dfffffffff,2.0,0.0,0.0
83122efffffffff,2.0,0.0,0.0
831233fffffffff,2.0,0.0,0.0
831243fffffffff,6.0,0.0,0.0
831248fffffffff,3.0,0.0,0.0
83124afffffffff,6.0,2.0,0.0
83124bfffffffff,95.0,47.0,0.0
83124dfffffffff,7.0,3.0,0.0
83124efffffffff,2.0,0.0,0.0
831250fffffffff,64.0,16.0,0.0
831251fffffffff,387.0,100.0,0.0
831252fffffffff,112.0,14.0,0.0
831253fffffffff,510.0,168.0,0.0
831254fffffffff,34.0,2.0,0.0
831255fffffffff,2.0,0.0,0.0
831256fffffffff,1.0,1.0,0.0
831258fffffffff,54.0,11.0,0.0
831259fffffffff,756.0,72.0,0.0
83125afffffffff,52.0,2.0,0.0
83125bfffffffff,63.0,3.0,0.0
83125cfffffffff,9.0,2.0,0.0
83125dfffffffff,154.0,6.0,0.0
83125efffffffff,51.0,5.0,0.0
83126bfffffffff,4.0,2.0,0.0
831272fffffffff,372.0,142.0,0.0
831280fffffffff,4.0,0.0,0.0
831284fffffffff,8.0,4.0,0.0
831285fffffffff,27.0,5.0,0.0
831288fffffffff,20.0,0.0,0.0
831289fffffffff,380.0,5.0,0.0
83128afffffffff,2.0,0.0,0.0
83128bfffffffff,5.0,0.0,0.0
83128dfffffffff,42.0,0.0,0.0
83128efffffffff,2.0,0.0,0.0
8312a2fffffffff,1.0,0.0,0.0
8312a3fffffffff,4.0,0.0,0.0
8312a9fffffffff,6.0,0.0,0.0
8312aafffffffff,38.0,0.0,0.0
8312abfffffffff,76.0,9.0,0.0
8312adfffffffff,43.0,5.0,0.0
8312b0fffffffff,12.0,1.0,0.0
8312b4fffffffff,2.0,0.0,0.0
8312c0fffffffff,312.0,93.0,0.0
8312c1fffffffff,998.0,134.0,0.0
8312c2fffffffff,71.0,9.0,0.0
8312c3fffffffff,452.0,14.0,0.0
8312c4fffffffff,4.0,0.0,0.0
8312c5fffffffff,8.0,0.0,0.0
8312c8fffffffff,679.0,146.0,0.0
8312c9fffffffff,510.0,190.0,0.0
8312cafffffffff,223.0,21.0,0.0
8312cbfffffffff,282.0,63.0,0.0
8312ccfffffffff,10248.0,1769.0,0.0
8312cdfffffffff,748.0,162.0,0.0
8312cefffffffff,91.0,5.0,0.0
8312d0fffffffff,718.0,118.0,0.0
8312d1fffffffff,3258.0,498.0,0.0
8312d2fffffffff,2.0,2.0,0.0
8312d3fffffffff,738.0,137.0,0.0
8312d4fffffffff,164.0,3.0,0.0
8312d5fffffffff,39.0,15.0,0.0
8312d6fffffffff,191.0,57.0,0.0
8312d8fffffffff,471.0,134.0,0.0
8312d9fffffffff,569.0,230.0,0.0
8312dafffffffff,421.0,168.0,0.0
8312dbfffffffff,2023.0,378.0,0.0
8312dcfffffffff,780.0,68.0,0.0
8312ddfffffffff,2449.0,87.0,0.0
8312defffffffff,2458.0,482.0,0.0
8312e1fffffffff,1479.0,220.0,0.0
8312e2fffffffff,12.0,8.0,0.0
8312e3fffffffff,20.0,1.0,0.0
8312e4fffffffff,18.0,6.0,0.0
8312e5fffffffff,19.0,2.0,0.0
8312e6fffffffff,1.0,0.0,0.0
8312e8fffffffff,335.0,62.0,0.0
8312e9fffffffff,26.0,14.0,0.0
8312eafffffffff,1184.0,241.0,0.0
8312ebfffffffff,223.0,61.0,0.0
8312ecfffffffff,4092.0,747.0,0.0
8312edfffffffff,93.0,23.0,0.0
8312eefffffffff,181.0,19.0,0.0
8312f0fffffffff,16.0,0.0,0.0
8312f1fffffffff,119.0,22.0,0.0
8312f2fffffffff,4.0,0.0,0.0
8312f6fffffffff,486.0,82.0,0.0
831352fffffffff,8.0,0.0,0.0
831380fffffffff,2.0,0.0,0.0
831382fffffffff,5.0,0.0,0.0
831385fffffffff,2.0,0.0,0.0
831386fffffffff,65.0,0.0,0.0
83138cfffffffff,11.0,0.0,0.0
83139efffffffff,3.0,0.0,0.0
8313a3fffffffff,10.0,0.0,0.0
8313b1fffffffff,5.0,0.0,0.0
8313b3fffffffff,2.0,0.0,0.0
8313b5fffffffff,2.0,0.0,0.0
831d24fffffffff,12.0,0.0,0.0
832600fffffffff,404.0,125.0,0.0
832601fffffffff,257.0,30.0,0.0
