cell_id,Chrysomma altirostre,Chrysomma altirostre scindicum,Chrysomma altirostre griseigulare,Chrysomma altirostre altirostre
843c159ffffffff,4.0,0.0,0.0,0.0
843c581ffffffff,7.0,0.0,0.0,0.0
843c585ffffffff,94.0,0.0,0.0,0.0
843c58dffffffff,11.0,0.0,0.0,0.0
843c5a9ffffffff,316.0,0.0,0.0,0.0
843c5e3ffffffff,12.0,0.0,0.0,0.0
843ce55ffffffff,14.0,0.0,0.0,0.0
843ce57ffffffff,51.0,0.0,0.0,0.0
843cec1ffffffff,14.0,0.0,0.0,0.0
843cec3ffffffff,1.0,0.0,0.0,0.0
843da99ffffffff,1.0,0.0,0.0,0.0
843da9dffffffff,6.0,0.0,0.0,0.0
84648d9ffffffff,5.0,0.0,0.0,0.0
84648ddffffffff,34.0,0.0,0.0,0.0
