cell_id,Turdus migratorius,Turdus migratorius nigrideus,Turdus migratorius [migratorius Group],Turdus migratorius confinis
8402cadffffffff,2.0,0.0,0.0,0.0
840c015ffffffff,12.0,0.0,0.0,0.0
840c021ffffffff,2.0,0.0,0.0,0.0
840c033ffffffff,26.0,0.0,0.0,0.0
840c037ffffffff,25.0,0.0,0.0,0.0
840c03bffffffff,61.0,0.0,0.0,0.0
840c04bffffffff,19.0,0.0,0.0,0.0
840c051ffffffff,11.0,0.0,0.0,0.0
840c061ffffffff,12.0,0.0,0.0,0.0
840c063ffffffff,9.0,0.0,0.0,0.0
840c067ffffffff,3.0,0.0,0.0,0.0
840c06bffffffff,1.0,0.0,0.0,0.0
840c0b1ffffffff,58.0,0.0,0.0,0.0
840c0b3ffffffff,13.0,0.0,0.0,0.0
840c0b7ffffffff,2.0,0.0,0.0,0.0
840c141ffffffff,520.0,0.0,0.0,0.0
840c143ffffffff,1490.0,0.0,0.0,0.0
840c145ffffffff,234.0,0.0,0.0,0.0
840c147ffffffff,2659.0,0.0,0.0,0.0
840c149ffffffff,142.0,0.0,0.0,0.0
840c14bffffffff,419.0,0.0,0.0,0.0
840c14dffffffff,134.0,0.0,0.0,0.0
840c15dffffffff,423.0,0.0,0.0,0.0
840c185ffffffff,5.0,0.0,0.0,0.0
840c1b1ffffffff,82.0,0.0,0.0,0.0
840c1b5ffffffff,2.0,0.0,0.0,0.0
840c1e1ffffffff,94.0,0.0,0.0,0.0
840c213ffffffff,26.0,0.0,0.0,0.0
840c217ffffffff,15.0,0.0,0.0,0.0
840c231ffffffff,56.0,0.0,0.0,0.0
840c251ffffffff,11.0,0.0,0.0,0.0
840c25dffffffff,2.0,0.0,0.0,0.0
840c265ffffffff,2.0,0.0,0.0,0.0
840c293ffffffff,3.0,0.0,0.0,0.0
840c297ffffffff,4.0,0.0,0.0,0.0
840c29bffffffff,10.0,0.0,0.0,0.0
840c2a9ffffffff,67.0,0.0,0.0,0.0
840c2cdffffffff,146.0,0.0,0.0,0.0
