cell_id,Enicurus leschenaulti,Enicurus leschenaulti sinensis/indicus,Enicurus leschenaulti frontalis/chaseni,Enicurus leschenaulti leschenaulti
823097fffffffff,1.0,0.0,0.0,0.0
82309ffffffffff,23.0,6.0,0.0,0.0
823c5ffffffffff,309.0,2.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0,0.0
824007fffffffff,8.0,0.0,0.0,0.0
82400ffffffffff,27.0,0.0,0.0,0.0
824017fffffffff,12.0,11.0,0.0,0.0
82401ffffffffff,2.0,1.0,0.0,0.0
824027fffffffff,4.0,0.0,0.0,0.0
82402ffffffffff,2.0,0.0,0.0,0.0
824037fffffffff,11.0,0.0,0.0,0.0
824047fffffffff,19.0,0.0,0.0,0.0
82404ffffffffff,161.0,25.0,0.0,0.0
824057fffffffff,4.0,0.0,0.0,0.0
82405ffffffffff,10.0,1.0,0.0,0.0
824067fffffffff,15.0,0.0,0.0,0.0
82406ffffffffff,20.0,2.0,0.0,0.0
824077fffffffff,5.0,0.0,0.0,0.0
824087fffffffff,1.0,0.0,0.0,0.0
82408ffffffffff,27.0,0.0,0.0,0.0
8240a7fffffffff,5.0,0.0,0.0,0.0
8240affffffffff,18.0,0.0,0.0,0.0
8240b7fffffffff,69.0,0.0,0.0,0.0
8240c7fffffffff,59.0,20.0,0.0,0.0
8240e7fffffffff,41.0,5.0,0.0,0.0
8240effffffffff,55.0,14.0,0.0,0.0
8240f7fffffffff,2.0,0.0,0.0,0.0
82411ffffffffff,31.0,0.0,0.0,0.0
824147fffffffff,1.0,0.0,0.0,0.0
82414ffffffffff,16.0,0.0,0.0,0.0
82415ffffffffff,14.0,0.0,0.0,0.0
824167fffffffff,7.0,0.0,0.0,0.0
82416ffffffffff,1.0,0.0,0.0,0.0
824177fffffffff,134.0,1.0,0.0,0.0
824187fffffffff,112.0,22.0,0.0,0.0
824197fffffffff,193.0,65.0,0.0,0.0
82419ffffffffff,3.0,0.0,0.0,0.0
8241a7fffffffff,4.0,4.0,0.0,0.0
8241affffffffff,13.0,0.0,0.0,0.0
8241b7fffffffff,18.0,12.0,0.0,0.0
824b37fffffffff,6.0,3.0,0.0,0.0
826417fffffffff,1.0,0.0,0.0,0.0
826437fffffffff,14.0,0.0,7.0,0.0
826487fffffffff,324.0,93.0,0.0,0.0
826497fffffffff,122.0,45.0,0.0,0.0
82649ffffffffff,15.0,11.0,0.0,0.0
8264a7fffffffff,38.0,10.0,0.0,0.0
8264b7fffffffff,40.0,1.0,0.0,0.0
826507fffffffff,69.0,0.0,0.0,0.0
82651ffffffffff,12.0,0.0,2.0,0.0
826527fffffffff,94.0,0.0,0.0,0.0
82652ffffffffff,1.0,0.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0,0.0
82659ffffffffff,76.0,22.0,0.0,0.0
8265b7fffffffff,5.0,0.0,0.0,0.0
826807fffffffff,21.0,0.0,21.0,0.0
826817fffffffff,16.0,0.0,15.0,0.0
82681ffffffffff,281.0,4.0,207.0,0.0
82689ffffffffff,2.0,0.0,0.0,0.0
8268affffffffff,1.0,0.0,1.0,0.0
826937fffffffff,12.0,0.0,0.0,0.0
828c17fffffffff,113.0,0.0,0.0,51.0
828c1ffffffffff,4.0,0.0,0.0,0.0
828cd7fffffffff,4.0,0.0,0.0,0.0
828cf7fffffffff,2.0,0.0,0.0,0.0
828d87fffffffff,3.0,0.0,0.0,2.0
828d8ffffffffff,12.0,0.0,0.0,7.0
828da7fffffffff,7.0,0.0,0.0,5.0
828db7fffffffff,119.0,0.0,0.0,46.0
8295a7fffffffff,17.0,0.0,0.0,5.0
