cell_id,Tityra cayana,Tityra cayana braziliensis,Tityra cayana cayana
835f01fffffffff,2.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0
835f03fffffffff,118.0,0.0,7.0
835f08fffffffff,5.0,0.0,0.0
835f09fffffffff,5.0,0.0,0.0
835f0dfffffffff,12.0,0.0,0.0
835f0efffffffff,1.0,0.0,0.0
835f10fffffffff,8.0,0.0,0.0
835f12fffffffff,21.0,0.0,0.0
835f13fffffffff,17.0,0.0,0.0
835f14fffffffff,17.0,0.0,0.0
835f16fffffffff,8.0,0.0,0.0
835f1cfffffffff,25.0,0.0,0.0
835f22fffffffff,2.0,0.0,1.0
835f29fffffffff,21.0,0.0,0.0
835f2bfffffffff,450.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,23.0,0.0,0.0
835f41fffffffff,2.0,0.0,0.0
835f42fffffffff,34.0,0.0,0.0
835f43fffffffff,3.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f45fffffffff,1.0,0.0,0.0
835f46fffffffff,4.0,0.0,0.0
835f48fffffffff,1.0,0.0,0.0
835f49fffffffff,4.0,0.0,0.0
835f4afffffffff,30.0,0.0,0.0
835f4bfffffffff,11.0,0.0,0.0
835f4efffffffff,6.0,0.0,0.0
835f50fffffffff,4.0,0.0,0.0
835f54fffffffff,8.0,0.0,0.0
835f58fffffffff,360.0,0.0,0.0
835f59fffffffff,1.0,0.0,0.0
835f5bfffffffff,79.0,0.0,0.0
835f5dfffffffff,10.0,0.0,0.0
835f68fffffffff,31.0,0.0,0.0
835f71fffffffff,12.0,0.0,0.0
835f75fffffffff,64.0,0.0,2.0
83660bfffffffff,9.0,0.0,0.0
83660dfffffffff,23.0,0.0,1.0
836621fffffffff,3.0,0.0,0.0
836629fffffffff,13.0,0.0,0.0
83662bfffffffff,3.0,0.0,0.0
83662cfffffffff,2.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0
83662efffffffff,22.0,0.0,0.0
836641fffffffff,558.0,0.0,40.0
836643fffffffff,3.0,0.0,0.0
836644fffffffff,14.0,0.0,0.0
836645fffffffff,5.0,0.0,0.0
836646fffffffff,1.0,0.0,0.0
836648fffffffff,4.0,0.0,0.0
83664efffffffff,4.0,0.0,0.0
836650fffffffff,5.0,0.0,0.0
836652fffffffff,106.0,0.0,0.0
836656fffffffff,91.0,0.0,0.0
83665afffffffff,384.0,0.0,5.0
83665bfffffffff,136.0,0.0,5.0
83665efffffffff,48.0,0.0,0.0
836663fffffffff,58.0,0.0,0.0
83666bfffffffff,4.0,0.0,0.0
83666cfffffffff,8.0,0.0,0.0
83666efffffffff,7.0,0.0,0.0
836670fffffffff,3.0,0.0,0.0
836672fffffffff,35.0,0.0,0.0
836673fffffffff,1.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0
8366c0fffffffff,153.0,0.0,2.0
