cell_id,Batrachostomus affinis,Batrachostomus affinis continentalis,Batrachostomus affinis affinis
846416dffffffff,7.0,3.0,0.0
8464829ffffffff,1.0,0.0,0.0
8464b41ffffffff,2.0,0.0,0.0
8465005ffffffff,12.0,0.0,0.0
8465009ffffffff,2.0,0.0,0.0
846502bffffffff,1.0,0.0,0.0
8465033ffffffff,1.0,0.0,0.0
8465043ffffffff,4.0,0.0,0.0
8465055ffffffff,5.0,0.0,0.0
8465063ffffffff,2.0,0.0,0.0
8465183ffffffff,4.0,0.0,0.0
8465189ffffffff,21.0,0.0,0.0
846518bffffffff,3.0,0.0,1.0
84651c3ffffffff,4.0,0.0,0.0
84651d1ffffffff,1.0,0.0,0.0
84651d9ffffffff,5.0,0.0,0.0
8465229ffffffff,1.0,0.0,1.0
8465915ffffffff,1.0,0.0,0.0
848c967ffffffff,1.0,0.0,1.0
