cell_id,Sphenopsis melanotis,Sphenopsis melanotis [melanotis Group],Sphenopsis melanotis ochracea,Sphenopsis melanotis piurae/macrophrys
8466089ffffffff,23.0,0.0,0.0,0.0
84660b3ffffffff,1.0,0.0,0.0,0.0
84660bdffffffff,1.0,0.0,0.0,0.0
84660c3ffffffff,6.0,0.0,0.0,0.0
84660cbffffffff,4.0,0.0,0.0,0.0
84660ddffffffff,10.0,0.0,0.0,0.0
8466197ffffffff,37.0,0.0,0.0,0.0
846619dffffffff,2.0,0.0,0.0,0.0
84661b3ffffffff,6.0,0.0,0.0,0.0
84661bbffffffff,45.0,0.0,0.0,0.0
84662b7ffffffff,2.0,0.0,0.0,0.0
8466c47ffffffff,1.0,0.0,0.0,0.0
8466c4bffffffff,2.0,0.0,0.0,0.0
8466c6bffffffff,21.0,0.0,0.0,0.0
8466d03ffffffff,17.0,0.0,9.0,0.0
8466d11ffffffff,1.0,0.0,0.0,0.0
8466d1dffffffff,1.0,0.0,0.0,0.0
8466d31ffffffff,505.0,0.0,282.0,0.0
8466d37ffffffff,3.0,0.0,3.0,0.0
8466d39ffffffff,4.0,0.0,0.0,0.0
8466de1ffffffff,1096.0,227.0,0.0,0.0
8466dedffffffff,866.0,171.0,0.0,0.0
8466e07ffffffff,2.0,0.0,0.0,0.0
8466e09ffffffff,48.0,1.0,0.0,0.0
8466e0bffffffff,12.0,0.0,0.0,0.0
8466e0dffffffff,2.0,0.0,0.0,0.0
8466e41ffffffff,2.0,0.0,0.0,0.0
8466e43ffffffff,135.0,0.0,0.0,0.0
8466e47ffffffff,500.0,55.0,0.0,0.0
8466e4bffffffff,2.0,0.0,0.0,0.0
8466e55ffffffff,9.0,0.0,0.0,0.0
8466e5dffffffff,3.0,0.0,0.0,0.0
8466e61ffffffff,50.0,0.0,0.0,0.0
8466e65ffffffff,91.0,3.0,0.0,0.0
8466e67ffffffff,70.0,0.0,0.0,0.0
8466e69ffffffff,16.0,0.0,0.0,0.0
8466e6dffffffff,1879.0,81.0,0.0,0.0
8466f19ffffffff,8.0,0.0,0.0,0.0
8466f1dffffffff,5.0,0.0,0.0,0.0
8466f53ffffffff,20.0,0.0,0.0,0.0
8466f5bffffffff,9.0,0.0,0.0,0.0
848b205ffffffff,2.0,0.0,0.0,0.0
848b211ffffffff,12.0,0.0,0.0,0.0
848b2c5ffffffff,12.0,0.0,0.0,0.0
848b2cdffffffff,25.0,1.0,0.0,0.0
848b2d9ffffffff,2.0,0.0,0.0,0.0
848b2dbffffffff,8.0,0.0,0.0,0.0
848b611ffffffff,3.0,0.0,0.0,0.0
848b613ffffffff,3.0,0.0,0.0,0.0
848b617ffffffff,669.0,38.0,0.0,0.0
848b61bffffffff,6.0,0.0,0.0,0.0
848b63bffffffff,1.0,0.0,0.0,0.0
848b6cdffffffff,17.0,1.0,0.0,0.0
848b759ffffffff,14.0,0.0,0.0,0.0
848b75bffffffff,25.0,0.0,0.0,0.0
848e641ffffffff,3.0,0.0,0.0,0.0
848e643ffffffff,1.0,0.0,0.0,0.0
848e649ffffffff,19.0,0.0,0.0,0.0
848e64bffffffff,40.0,0.0,0.0,0.0
848e651ffffffff,32.0,0.0,0.0,0.0
848e655ffffffff,1.0,0.0,0.0,0.0
848e6cbffffffff,2.0,0.0,0.0,0.0
848f0d3ffffffff,48.0,0.0,0.0,42.0
848f2d3ffffffff,5.0,0.0,0.0,0.0
848f421ffffffff,11.0,0.0,0.0,0.0
848f425ffffffff,3.0,0.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0,0.0
848f465ffffffff,1.0,0.0,0.0,0.0
848f467ffffffff,5.0,0.0,0.0,0.0
848f4a5ffffffff,42.0,0.0,0.0,0.0
848f4adffffffff,3.0,0.0,0.0,0.0
848f503ffffffff,2.0,0.0,0.0,0.0
848f50bffffffff,11.0,0.0,0.0,0.0
848f511ffffffff,2.0,0.0,0.0,0.0
848f515ffffffff,23.0,0.0,0.0,0.0
848f517ffffffff,4.0,0.0,0.0,0.0
848f51dffffffff,10.0,0.0,0.0,0.0
848f54dffffffff,23.0,0.0,0.0,0.0
848f553ffffffff,4.0,0.0,0.0,0.0
848f555ffffffff,3.0,0.0,0.0,0.0
848f557ffffffff,2.0,0.0,0.0,0.0
848f559ffffffff,3.0,0.0,0.0,0.0
848f55bffffffff,2.0,0.0,0.0,0.0
848f599ffffffff,2.0,0.0,0.0,0.0
848f5ddffffffff,1.0,0.0,0.0,0.0
848f705ffffffff,2.0,0.0,0.0,0.0
848f721ffffffff,1.0,0.0,0.0,0.0
848f725ffffffff,3.0,0.0,0.0,0.0
848f727ffffffff,2.0,0.0,0.0,0.0
848f733ffffffff,89.0,0.0,0.0,0.0
848f74dffffffff,1.0,0.0,0.0,0.0
848f767ffffffff,1.0,0.0,0.0,0.0
84b3219ffffffff,1.0,0.0,0.0,0.0
84b324bffffffff,6.0,0.0,0.0,0.0
84b3253ffffffff,11.0,1.0,0.0,0.0
84b325bffffffff,2.0,0.0,0.0,0.0
