cell_id,Onychorhynchus coronatus,Onychorhynchus coronatus mexicanus/fraterculus,Onychorhynchus coronatus occidentalis,Onychorhynchus coronatus coronatus/castelnaui
82450ffffffffff,3.0,0.0,0.0,0.0
824527fffffffff,2.0,0.0,0.0,0.0
82452ffffffffff,26.0,3.0,0.0,0.0
824537fffffffff,2.0,2.0,0.0,0.0
826617fffffffff,9.0,0.0,0.0,0.0
82661ffffffffff,61.0,5.0,0.0,0.0
8266b7fffffffff,11.0,4.0,0.0,0.0
8266c7fffffffff,2.0,0.0,0.0,0.0
8266effffffffff,2.0,0.0,0.0,0.0
82679ffffffffff,60.0,0.0,0.0,0.0
826d27fffffffff,8.0,1.0,0.0,0.0
826d2ffffffffff,5.0,4.0,0.0,0.0
826d37fffffffff,7.0,5.0,0.0,0.0
826d6ffffffffff,34.0,15.0,0.0,0.0
828147fffffffff,4.0,0.0,0.0,1.0
828b47fffffffff,9.0,0.0,0.0,9.0
828f0ffffffffff,3.0,0.0,3.0,0.0
828f2ffffffffff,8.0,0.0,5.0,0.0
