cell_id,Newtonia amphichroa,Newtonia amphichroa amphichroa,Newtonia amphichroa lavarambo
84a2143ffffffff,220.0,0.0,0.0
84a215dffffffff,2.0,0.0,0.0
84a2227ffffffff,79.0,0.0,0.0
84a231bffffffff,114.0,0.0,0.0
84a2353ffffffff,11.0,0.0,0.0
84a2357ffffffff,1.0,0.0,0.0
84a2a49ffffffff,3.0,0.0,0.0
84a2a69ffffffff,1.0,0.0,0.0
84a2ae9ffffffff,1.0,0.0,0.0
84a3083ffffffff,1.0,0.0,0.0
84a308bffffffff,8.0,0.0,0.0
84a3091ffffffff,6.0,0.0,0.0
84a3093ffffffff,18.0,0.0,0.0
84a3097ffffffff,1.0,0.0,0.0
84a319dffffffff,3.0,0.0,0.0
84a3567ffffffff,4.0,0.0,0.0
84a356dffffffff,1.0,0.0,0.0
84a3761ffffffff,2.0,0.0,0.0
84a3765ffffffff,11.0,0.0,0.0
84a3767ffffffff,2.0,0.0,0.0
84a399bffffffff,3.0,0.0,0.0
