cell_id,Zimmerius viridiflavus,Zimmerius viridiflavus flavidifrons,Zimmerius viridiflavus viridiflavus,Zimmerius viridiflavus [undescribed form]
848e659ffffffff,2.0,0.0,0.0,0.0
848f0d3ffffffff,16.0,16.0,0.0,0.0
848f0d9ffffffff,2.0,2.0,0.0,0.0
848f0dbffffffff,16.0,16.0,0.0,0.0
848f291ffffffff,15.0,8.0,0.0,0.0
848f295ffffffff,5.0,0.0,0.0,0.0
848f297ffffffff,1.0,1.0,0.0,0.0
848f2bbffffffff,2.0,0.0,0.0,0.0
848f46bffffffff,1.0,0.0,0.0,1.0
848f4adffffffff,2.0,0.0,0.0,0.0
848f4b3ffffffff,22.0,0.0,0.0,0.0
848f721ffffffff,8.0,8.0,0.0,0.0
848f733ffffffff,19.0,0.0,0.0,19.0
