cell_id,Prunella ocularis,Prunella ocularis ocularis,Prunella ocularis fagani
822c07fffffffff,103.0,80.0,0.0
822c17fffffffff,18.0,17.0,0.0
822c1ffffffffff,13.0,13.0,0.0
822c27fffffffff,42.0,40.0,0.0
822c37fffffffff,21.0,20.0,0.0
822c8ffffffffff,2.0,2.0,0.0
822caffffffffff,4.0,4.0,0.0
822cc7fffffffff,21.0,18.0,0.0
822ccffffffffff,4.0,4.0,0.0
822cd7fffffffff,32.0,31.0,0.0
822cf7fffffffff,136.0,128.0,0.0
822d17fffffffff,157.0,137.0,0.0
822d1ffffffffff,6.0,6.0,0.0
822daffffffffff,19.0,17.0,0.0
824227fffffffff,2.0,2.0,0.0
824307fffffffff,3.0,3.0,0.0
82431ffffffffff,4.0,2.0,0.0
824327fffffffff,11.0,8.0,0.0
824337fffffffff,1.0,1.0,0.0
82521ffffffffff,2.0,0.0,2.0
8252f7fffffffff,1.0,0.0,1.0
