cell_id,Cyanocompsa parellina,Cyanocompsa parellina parellina/beneplacita,Cyanocompsa parellina indigotica
8444249ffffffff,3.0,0.0,0.0
8445011ffffffff,5.0,0.0,0.0
8445019ffffffff,23.0,0.0,0.0
844501bffffffff,5.0,0.0,0.0
8445053ffffffff,7.0,0.0,0.0
844505bffffffff,17.0,0.0,0.0
8445081ffffffff,5.0,0.0,0.0
8445083ffffffff,121.0,28.0,0.0
8445085ffffffff,57.0,3.0,0.0
8445087ffffffff,223.0,28.0,0.0
8445089ffffffff,3.0,0.0,0.0
844508bffffffff,7.0,2.0,0.0
844508dffffffff,34.0,0.0,0.0
8445091ffffffff,19.0,6.0,0.0
8445095ffffffff,2.0,0.0,0.0
8445097ffffffff,6.0,0.0,0.0
8445099ffffffff,97.0,0.0,0.0
844509bffffffff,219.0,70.0,0.0
844509dffffffff,9.0,0.0,0.0
84450a1ffffffff,251.0,2.0,0.0
84450a3ffffffff,91.0,14.0,0.0
84450a5ffffffff,22.0,3.0,0.0
84450a7ffffffff,15.0,0.0,0.0
84450a9ffffffff,39.0,3.0,0.0
84450abffffffff,15.0,0.0,0.0
84450adffffffff,1.0,0.0,0.0
84450b1ffffffff,32.0,0.0,0.0
84450b5ffffffff,36.0,0.0,0.0
84450b9ffffffff,15.0,0.0,0.0
84450bbffffffff,2.0,0.0,0.0
84450bdffffffff,26.0,0.0,0.0
84450c1ffffffff,32.0,2.0,0.0
84450c3ffffffff,3.0,0.0,0.0
84450c5ffffffff,83.0,11.0,0.0
84450c7ffffffff,8.0,0.0,0.0
84450cdffffffff,54.0,0.0,0.0
84450d1ffffffff,27.0,18.0,0.0
84450d3ffffffff,224.0,76.0,0.0
84450d5ffffffff,60.0,27.0,0.0
84450d7ffffffff,9.0,0.0,0.0
84450d9ffffffff,3.0,0.0,0.0
84450ddffffffff,22.0,10.0,0.0
84450e1ffffffff,5.0,0.0,0.0
84450e3ffffffff,197.0,4.0,0.0
84450ebffffffff,184.0,29.0,0.0
84450edffffffff,2.0,0.0,0.0
844519bffffffff,3.0,0.0,0.0
8445213ffffffff,10.0,0.0,0.0
8445217ffffffff,9.0,0.0,0.0
844521bffffffff,2.0,0.0,0.0
8445243ffffffff,24.0,0.0,0.0
8445247ffffffff,25.0,0.0,0.0
8445255ffffffff,5.0,0.0,0.0
844525dffffffff,3.0,0.0,0.0
8445263ffffffff,5.0,0.0,0.0
8445281ffffffff,22.0,0.0,0.0
8445283ffffffff,17.0,2.0,0.0
