cell_id,Pterocles alchata,Pterocles alchata alchata,Pterocles alchata caudacutus
832019fffffffff,5.0,0.0,0.0
832033fffffffff,8.0,0.0,0.0
832c12fffffffff,1.0,0.0,0.0
832c83fffffffff,2.0,0.0,0.0
832c98fffffffff,1.0,0.0,0.0
832ca0fffffffff,5.0,0.0,0.0
832cc0fffffffff,12.0,0.0,0.0
832cc1fffffffff,8.0,0.0,0.0
832db2fffffffff,18.0,0.0,0.0
832db6fffffffff,174.0,0.0,21.0
833816fffffffff,45.0,0.0,0.0
833825fffffffff,2.0,0.0,0.0
833832fffffffff,2.0,0.0,0.0
833841fffffffff,1.0,0.0,0.0
833842fffffffff,1.0,0.0,0.0
833900fffffffff,653.0,0.0,0.0
833901fffffffff,1.0,0.0,0.0
833903fffffffff,239.0,0.0,0.0
833908fffffffff,393.0,0.0,0.0
833909fffffffff,67.0,8.0,0.0
83390afffffffff,1.0,0.0,0.0
83390bfffffffff,4.0,0.0,0.0
83390cfffffffff,167.0,0.0,0.0
83390dfffffffff,4.0,0.0,0.0
83390efffffffff,226.0,0.0,0.0
83391afffffffff,2.0,0.0,0.0
83391cfffffffff,5.0,2.0,0.0
83391efffffffff,106.0,12.0,0.0
83392efffffffff,33.0,0.0,0.0
833956fffffffff,53.0,0.0,0.0
833968fffffffff,81.0,11.0,0.0
83396cfffffffff,5.0,0.0,0.0
833970fffffffff,230.0,0.0,0.0
833971fffffffff,291.0,7.0,0.0
833973fffffffff,2.0,0.0,0.0
833974fffffffff,246.0,0.0,0.0
833975fffffffff,2.0,0.0,0.0
833976fffffffff,2.0,0.0,0.0
833983fffffffff,1.0,0.0,0.0
833988fffffffff,82.0,0.0,1.0
83398afffffffff,2.0,0.0,0.0
83398dfffffffff,15.0,0.0,0.0
83398efffffffff,11.0,0.0,0.0
833993fffffffff,3.0,0.0,0.0
83399cfffffffff,1.0,0.0,0.0
833e6cfffffffff,199.0,0.0,23.0
834300fffffffff,3.0,0.0,0.0
834336fffffffff,1.0,0.0,0.0
8343a1fffffffff,399.0,0.0,0.0
8343acfffffffff,5.0,0.0,0.0
8343aefffffffff,15.0,0.0,0.0
83534dfffffffff,1.0,0.0,0.0
