cell_id,Pterodroma leucoptera,Pterodroma leucoptera leucoptera,Pterodroma leucoptera caledonica
849e281ffffffff,2.0,0.0,0.0
849f093ffffffff,1.0,0.0,0.0
849f417ffffffff,1.0,0.0,0.0
849f419ffffffff,1.0,0.0,0.0
849f42dffffffff,3.0,0.0,0.0
849f445ffffffff,1.0,0.0,0.0
849f44dffffffff,1.0,0.0,1.0
849f509ffffffff,2.0,0.0,2.0
849f50bffffffff,1.0,0.0,0.0
849f50dffffffff,1.0,0.0,1.0
849f513ffffffff,1.0,0.0,0.0
849f517ffffffff,1.0,0.0,1.0
849f543ffffffff,2.0,0.0,2.0
849f551ffffffff,2.0,0.0,0.0
849f553ffffffff,7.0,0.0,2.0
849f557ffffffff,5.0,0.0,4.0
849f563ffffffff,1.0,0.0,1.0
849f621ffffffff,2.0,0.0,0.0
849f6a5ffffffff,1.0,0.0,0.0
849f713ffffffff,3.0,0.0,0.0
84a1691ffffffff,1.0,0.0,0.0
84a16c9ffffffff,1.0,0.0,0.0
84a16cdffffffff,1.0,0.0,0.0
84b0103ffffffff,1.0,0.0,0.0
84b4b05ffffffff,1.0,0.0,0.0
84b4b37ffffffff,1.0,0.0,0.0
84ba669ffffffff,1.0,0.0,0.0
84ba6d7ffffffff,1.0,0.0,0.0
84bb583ffffffff,4.0,0.0,0.0
84bb5d3ffffffff,5.0,0.0,0.0
84be001ffffffff,1.0,0.0,0.0
84be0c1ffffffff,20.0,0.0,0.0
84be0c3ffffffff,1.0,0.0,0.0
84be0c7ffffffff,2.0,0.0,0.0
84be0e3ffffffff,30.0,0.0,0.0
84be0e7ffffffff,4.0,0.0,0.0
84be1c7ffffffff,2.0,0.0,0.0
84be1d9ffffffff,17.0,0.0,0.0
84be291ffffffff,7.0,0.0,0.0
84be29bffffffff,1.0,0.0,0.0
84be8ddffffffff,3.0,0.0,0.0
84beaa1ffffffff,1.0,0.0,0.0
84beaa5ffffffff,3.0,0.0,0.0
84beaadffffffff,7.0,0.0,0.0
84beab5ffffffff,7.0,0.0,0.0
84beab7ffffffff,33.0,0.0,0.0
84beae3ffffffff,3.0,0.0,0.0
84beae7ffffffff,5.0,0.0,0.0
84beb35ffffffff,1.0,0.0,0.0
84bf1a1ffffffff,1.0,0.0,0.0
84bf1a3ffffffff,1.0,0.0,0.0
84bf1e7ffffffff,1.0,0.0,0.0
84bf289ffffffff,1.0,0.0,0.0
84bf2c5ffffffff,1.0,0.0,0.0
84bf2c7ffffffff,2.0,0.0,0.0
84bf421ffffffff,1.0,0.0,0.0
84bf437ffffffff,1.0,0.0,0.0
84bf445ffffffff,3.0,0.0,0.0
84bf4c9ffffffff,134.0,0.0,0.0
84bf5d9ffffffff,1.0,0.0,0.0
84bf713ffffffff,1.0,0.0,0.0
84bf821ffffffff,1.0,0.0,0.0
84bf829ffffffff,2.0,0.0,0.0
84bf867ffffffff,1.0,0.0,0.0
84bfad1ffffffff,1.0,0.0,0.0
84bfad3ffffffff,4.0,0.0,0.0
84bfadbffffffff,2.0,0.0,0.0
