cell_id,Turdus migratorius,Turdus migratorius nigrideus,Turdus migratorius [migratorius Group],Turdus migratorius confinis
820747fffffffff,2.0,0.0,0.0,0.0
820c17fffffffff,13.0,0.0,0.0,0.0
820c47fffffffff,77.0,0.0,28.0,0.0
820c57fffffffff,18.0,0.0,2.0,0.0
820c5ffffffffff,39.0,0.0,0.0,0.0
820c67fffffffff,6.0,0.0,2.0,0.0
820c77fffffffff,60.0,0.0,6.0,0.0
820ca7fffffffff,17.0,0.0,0.0,0.0
820cdffffffffff,2.0,0.0,0.0,0.0
820ce7fffffffff,4.0,0.0,0.0,0.0
820d4ffffffffff,2.0,0.0,0.0,0.0
820d57fffffffff,3.0,0.0,0.0,0.0
820d5ffffffffff,8.0,0.0,0.0,0.0
820d77fffffffff,54.0,0.0,0.0,0.0
820e4ffffffffff,2.0,0.0,2.0,0.0
820e5ffffffffff,1.0,0.0,1.0,0.0
820e6ffffffffff,2.0,0.0,0.0,0.0
820e87fffffffff,2.0,0.0,0.0,0.0
820ec7fffffffff,2.0,0.0,0.0,0.0
820ecffffffffff,177.0,0.0,152.0,0.0
820ee7fffffffff,1.0,0.0,1.0,0.0
820eeffffffffff,19.0,0.0,4.0,0.0
820ef7fffffffff,23.0,0.0,23.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0
82124ffffffffff,2.0,0.0,0.0,0.0
821257fffffffff,60.0,0.0,60.0,0.0
82125ffffffffff,22.0,0.0,0.0,0.0
821277fffffffff,2.0,0.0,0.0,0.0
82128ffffffffff,3.0,0.0,0.0,0.0
8212b7fffffffff,4.0,0.0,0.0,0.0
8212c7fffffffff,10.0,0.0,0.0,0.0
8212cffffffffff,160.0,0.0,3.0,0.0
8212d7fffffffff,7.0,0.0,0.0,0.0
8212dffffffffff,19.0,0.0,0.0,0.0
8212e7fffffffff,3.0,0.0,0.0,0.0
8212effffffffff,36.0,0.0,5.0,0.0
8212f7fffffffff,1.0,0.0,0.0,0.0
82134ffffffffff,4.0,0.0,0.0,0.0
821387fffffffff,264.0,0.0,0.0,0.0
82138ffffffffff,11.0,0.0,0.0,0.0
821397fffffffff,5.0,0.0,0.0,0.0
82139ffffffffff,1.0,0.0,0.0,0.0
8213a7fffffffff,13.0,0.0,0.0,0.0
8213b7fffffffff,4.0,0.0,0.0,0.0
821877fffffffff,1.0,0.0,0.0,0.0
821947fffffffff,10.0,0.0,1.0,0.0
82194ffffffffff,22.0,0.0,0.0,0.0
82195ffffffffff,4.0,0.0,0.0,0.0
82196ffffffffff,3.0,0.0,0.0,0.0
821977fffffffff,2.0,0.0,0.0,0.0
821aa7fffffffff,53.0,2.0,0.0,0.0
821b87fffffffff,1.0,0.0,0.0,0.0
821b9ffffffffff,10.0,0.0,0.0,0.0
821bb7fffffffff,5.0,0.0,0.0,0.0
8222dffffffffff,88.0,0.0,0.0,0.0
822607fffffffff,30.0,0.0,22.0,0.0
82260ffffffffff,56.0,0.0,44.0,0.0
822617fffffffff,2.0,0.0,0.0,0.0
82261ffffffffff,8.0,0.0,8.0,0.0
822627fffffffff,30.0,0.0,16.0,0.0
82262ffffffffff,8.0,0.0,0.0,0.0
822637fffffffff,11.0,0.0,0.0,0.0
822647fffffffff,62.0,0.0,9.0,0.0
82264ffffffffff,120.0,0.0,14.0,0.0
822657fffffffff,31.0,0.0,2.0,0.0
82265ffffffffff,50.0,0.0,5.0,0.0
822667fffffffff,75.0,0.0,58.0,0.0
82266ffffffffff,12.0,0.0,0.0,0.0
822677fffffffff,30.0,0.0,4.0,0.0
822687fffffffff,341.0,0.0,4.0,0.0
82268ffffffffff,290.0,0.0,0.0,0.0
822697fffffffff,266.0,0.0,0.0,0.0
82269ffffffffff,92.0,0.0,0.0,0.0
8226a7fffffffff,8.0,0.0,8.0,0.0
8226affffffffff,174.0,0.0,6.0,0.0
8226b7fffffffff,2.0,0.0,0.0,0.0
8226c7fffffffff,17.0,0.0,0.0,0.0
8226cffffffffff,23.0,0.0,0.0,0.0
8226d7fffffffff,49.0,0.0,0.0,0.0
8226dffffffffff,12.0,0.0,0.0,0.0
8226e7fffffffff,55.0,0.0,1.0,0.0
8226effffffffff,18.0,0.0,0.0,0.0
8226f7fffffffff,50.0,0.0,0.0,0.0
822707fffffffff,5.0,0.0,0.0,0.0
82270ffffffffff,53.0,0.0,51.0,0.0
822717fffffffff,9.0,0.0,0.0,0.0
82271ffffffffff,17.0,0.0,0.0,0.0
82272ffffffffff,2.0,0.0,0.0,0.0
822747fffffffff,194.0,0.0,9.0,0.0
82274ffffffffff,2466.0,0.0,2.0,0.0
822757fffffffff,68.0,0.0,1.0,0.0
82275ffffffffff,101.0,0.0,28.0,0.0
822767fffffffff,149.0,0.0,92.0,0.0
82276ffffffffff,1095.0,0.0,939.0,0.0
822777fffffffff,126.0,0.0,97.0,0.0
822787fffffffff,4.0,0.0,0.0,0.0
82278ffffffffff,22.0,0.0,2.0,0.0
822797fffffffff,19.0,0.0,0.0,0.0
82279ffffffffff,28.0,0.0,3.0,0.0
8227a7fffffffff,21.0,0.0,0.0,0.0
8227affffffffff,54.0,0.0,0.0,0.0
8227b7fffffffff,9.0,0.0,0.0,0.0
822807fffffffff,51.0,0.0,45.0,0.0
822817fffffffff,59.0,0.0,10.0,0.0
82281ffffffffff,13.0,0.0,0.0,0.0
822837fffffffff,4253.0,0.0,53.0,0.0
822887fffffffff,7.0,0.0,0.0,0.0
82288ffffffffff,21.0,0.0,9.0,0.0
822897fffffffff,77.0,0.0,2.0,0.0
82289ffffffffff,33.0,0.0,4.0,0.0
8228a7fffffffff,7.0,0.0,0.0,0.0
8228affffffffff,27.0,0.0,5.0,0.0
8228b7fffffffff,44.0,0.0,0.0,0.0
8228c7fffffffff,4.0,0.0,0.0,0.0
8228d7fffffffff,19.0,0.0,0.0,0.0
8228dffffffffff,9.0,0.0,0.0,0.0
8228f7fffffffff,27.0,0.0,0.0,0.0
822917fffffffff,4.0,0.0,0.0,0.0
82291ffffffffff,7.0,0.0,2.0,0.0
822987fffffffff,19.0,0.0,0.0,0.0
82298ffffffffff,53.0,0.0,17.0,0.0
822997fffffffff,18.0,0.0,1.0,0.0
8229a7fffffffff,416.0,0.0,1.0,0.0
8229affffffffff,28.0,0.0,0.0,0.0
8229b7fffffffff,218.0,0.0,1.0,0.0
822a07fffffffff,19.0,0.0,0.0,0.0
822a17fffffffff,19299.0,0.0,56.0,0.0
822a37fffffffff,622.0,2.0,14.0,0.0
822a4ffffffffff,2.0,0.0,0.0,0.0
822a87fffffffff,84.0,0.0,19.0,0.0
822a8ffffffffff,32.0,3.0,0.0,0.0
822a97fffffffff,29.0,0.0,0.0,0.0
822a9ffffffffff,27.0,0.0,0.0,0.0
822aa7fffffffff,134.0,0.0,6.0,0.0
822aaffffffffff,1917.0,0.0,81.0,0.0
822ab7fffffffff,3974.0,0.0,2887.0,0.0
822ad7fffffffff,10.0,0.0,0.0,0.0
822af7fffffffff,21.0,1.0,4.0,0.0
822b07fffffffff,9.0,0.0,0.0,0.0
822b0ffffffffff,9.0,0.0,0.0,0.0
822b17fffffffff,282.0,0.0,57.0,0.0
822b1ffffffffff,48.0,4.0,10.0,0.0
822b27fffffffff,47.0,0.0,0.0,0.0
822b37fffffffff,4.0,0.0,0.0,0.0
822b87fffffffff,458.0,0.0,208.0,0.0
822b8ffffffffff,4037.0,0.0,3181.0,0.0
822b97fffffffff,169.0,0.0,118.0,0.0
822b9ffffffffff,4050.0,0.0,3797.0,0.0
822ba7fffffffff,129.0,0.0,12.0,0.0
