cell_id,Clytorhynchus vitiensis,Clytorhynchus vitiensis powelli,Clytorhynchus vitiensis [vitiensis Group],Clytorhynchus vitiensis fortunae,Clytorhynchus vitiensis keppeli
849a74dffffffff,1.0,0.0,0.0,0.0,0.0
849b19bffffffff,1.0,0.0,0.0,0.0,0.0
849b41bffffffff,56.0,0.0,0.0,0.0,0.0
849b437ffffffff,38.0,0.0,0.0,0.0,0.0
849b43bffffffff,1.0,0.0,0.0,0.0,0.0
849b45bffffffff,2.0,0.0,0.0,0.0,0.0
849b465ffffffff,1.0,0.0,0.0,0.0,0.0
849b4cbffffffff,8.0,0.0,0.0,0.0,0.0
849b4cdffffffff,5.0,0.0,0.0,0.0,0.0
849b4e1ffffffff,1.0,0.0,0.0,0.0,0.0
849b4e5ffffffff,5.0,0.0,0.0,0.0,0.0
849b5c9ffffffff,1.0,0.0,0.0,0.0,0.0
849b5cbffffffff,6.0,0.0,0.0,0.0,0.0
849b5d9ffffffff,8.0,0.0,0.0,0.0,0.0
849b5ddffffffff,1.0,0.0,0.0,0.0,0.0
849b6a3ffffffff,4.0,0.0,0.0,0.0,0.0
849b6a7ffffffff,26.0,0.0,0.0,0.0,0.0
849b6adffffffff,7.0,0.0,0.0,0.0,0.0
849b6b5ffffffff,42.0,0.0,0.0,0.0,0.0
849b6bdffffffff,1.0,0.0,0.0,0.0,0.0
849b6e7ffffffff,5.0,0.0,0.0,0.0,0.0
849b733ffffffff,1.0,0.0,0.0,0.0,0.0
849b897ffffffff,4.0,0.0,0.0,0.0,0.0
