cell_id,Vanellus chilensis,Vanellus chilensis cayennensis,Vanellus chilensis lampronotus,Vanellus chilensis chilensis/fretensis
824527fffffffff,2.0,0.0,0.0,0.0
825e67fffffffff,73.0,0.0,0.0,0.0
825f0ffffffffff,420.0,0.0,0.0,0.0
825f2ffffffffff,684.0,3.0,0.0,0.0
825f47fffffffff,179.0,4.0,0.0,0.0
825f4ffffffffff,225.0,0.0,0.0,0.0
825f57fffffffff,3.0,0.0,0.0,0.0
825f5ffffffffff,2473.0,16.0,0.0,0.0
825f6ffffffffff,37.0,0.0,0.0,0.0
825f77fffffffff,16.0,0.0,0.0,0.0
826607fffffffff,1312.0,11.0,0.0,0.0
82660ffffffffff,2947.0,32.0,0.0,0.0
826617fffffffff,2961.0,206.0,0.0,0.0
82661ffffffffff,9207.0,199.0,0.0,0.0
826627fffffffff,2539.0,254.0,0.0,0.0
82662ffffffffff,649.0,14.0,0.0,0.0
826637fffffffff,788.0,13.0,0.0,0.0
826647fffffffff,486.0,21.0,0.0,0.0
826657fffffffff,2621.0,17.0,0.0,0.0
82665ffffffffff,448.0,20.0,0.0,0.0
826667fffffffff,306.0,41.0,0.0,0.0
82666ffffffffff,8.0,0.0,0.0,0.0
826677fffffffff,1245.0,52.0,0.0,0.0
826687fffffffff,2.0,0.0,0.0,0.0
8266a7fffffffff,9374.0,506.0,0.0,0.0
8266b7fffffffff,6681.0,8.0,0.0,0.0
8266c7fffffffff,5312.0,35.0,0.0,0.0
8266cffffffffff,159.0,10.0,0.0,0.0
8266d7fffffffff,1236.0,61.0,0.0,0.0
8266dffffffffff,2883.0,229.0,0.0,0.0
8266e7fffffffff,26517.0,500.0,0.0,0.0
8266effffffffff,1360.0,32.0,0.0,0.0
8266f7fffffffff,8875.0,113.0,0.0,0.0
826747fffffffff,1770.0,7.0,0.0,0.0
82674ffffffffff,2622.0,56.0,0.0,0.0
826757fffffffff,2019.0,4.0,0.0,0.0
82675ffffffffff,1017.0,2.0,0.0,0.0
826777fffffffff,471.0,0.0,0.0,0.0
82678ffffffffff,2.0,0.0,0.0,0.0
826797fffffffff,27.0,0.0,0.0,0.0
82679ffffffffff,769.0,0.0,0.0,0.0
8267b7fffffffff,3.0,0.0,0.0,0.0
826d67fffffffff,293.0,0.0,0.0,0.0
826d6ffffffffff,8661.0,0.0,0.0,0.0
826d77fffffffff,3.0,0.0,0.0,0.0
828007fffffffff,8.0,0.0,0.0,0.0
82800ffffffffff,33.0,0.0,5.0,0.0
828017fffffffff,500.0,0.0,41.0,0.0
82801ffffffffff,11.0,0.0,0.0,0.0
828027fffffffff,6.0,0.0,0.0,0.0
82802ffffffffff,1.0,0.0,1.0,0.0
828037fffffffff,431.0,0.0,58.0,0.0
828047fffffffff,328.0,0.0,0.0,0.0
82804ffffffffff,11.0,0.0,0.0,0.0
828057fffffffff,65.0,0.0,0.0,0.0
828067fffffffff,14.0,0.0,0.0,0.0
82806ffffffffff,24.0,2.0,0.0,0.0
828077fffffffff,31.0,0.0,0.0,0.0
8280a7fffffffff,7.0,0.0,1.0,0.0
828107fffffffff,87.0,0.0,19.0,0.0
82810ffffffffff,23.0,0.0,16.0,0.0
828117fffffffff,196.0,0.0,24.0,0.0
82811ffffffffff,63.0,0.0,16.0,0.0
828127fffffffff,131.0,0.0,28.0,0.0
82812ffffffffff,71.0,0.0,5.0,0.0
828137fffffffff,428.0,0.0,46.0,0.0
828147fffffffff,169.0,0.0,8.0,0.0
82814ffffffffff,352.0,0.0,0.0,0.0
828157fffffffff,14.0,0.0,0.0,0.0
82815ffffffffff,123.0,0.0,2.0,0.0
828167fffffffff,183.0,0.0,0.0,0.0
828177fffffffff,290.0,0.0,0.0,0.0
828187fffffffff,649.0,0.0,83.0,0.0
82818ffffffffff,486.0,0.0,4.0,0.0
82819ffffffffff,82.0,0.0,0.0,0.0
8281a7fffffffff,67.0,0.0,20.0,0.0
8281affffffffff,193.0,0.0,30.0,0.0
828a07fffffffff,133.0,0.0,10.0,0.0
828a17fffffffff,17.0,0.0,0.0,0.0
828a1ffffffffff,10.0,0.0,0.0,0.0
828a27fffffffff,43.0,0.0,4.0,0.0
828a2ffffffffff,4.0,0.0,0.0,0.0
828a37fffffffff,46.0,0.0,4.0,0.0
