cell_id,Cercotrichas galactotes,Cercotrichas galactotes [galactotes Group],Cercotrichas galactotes minor/hamertoni
821ecffffffffff,43.0,20.0,0.0
821edffffffffff,56.0,20.0,0.0
82200ffffffffff,25.0,7.0,0.0
822017fffffffff,24.0,5.0,0.0
82201ffffffffff,10.0,8.0,0.0
8220a7fffffffff,3.0,0.0,0.0
8220b7fffffffff,8.0,3.0,0.0
8220e7fffffffff,2.0,0.0,0.0
822187fffffffff,3.0,3.0,0.0
82218ffffffffff,22.0,2.0,0.0
82219ffffffffff,26.0,12.0,0.0
8221b7fffffffff,2.0,0.0,0.0
8225b7fffffffff,3.0,2.0,0.0
822c07fffffffff,158.0,83.0,0.0
822c0ffffffffff,44.0,11.0,0.0
822c17fffffffff,72.0,32.0,0.0
822c1ffffffffff,2.0,2.0,0.0
822c2ffffffffff,17.0,0.0,0.0
822c37fffffffff,32.0,25.0,0.0
822c87fffffffff,23.0,12.0,0.0
822c8ffffffffff,5.0,5.0,0.0
822c97fffffffff,810.0,677.0,0.0
822c9ffffffffff,9.0,5.0,0.0
822ca7fffffffff,8.0,8.0,0.0
822caffffffffff,33.0,25.0,0.0
822cc7fffffffff,22.0,2.0,0.0
822cd7fffffffff,88.0,45.0,0.0
822cdffffffffff,5.0,3.0,0.0
822ce7fffffffff,23.0,17.0,0.0
822cf7fffffffff,130.0,40.0,0.0
822d17fffffffff,35.0,28.0,0.0
822d1ffffffffff,2.0,2.0,0.0
822d37fffffffff,3.0,0.0,0.0
822d87fffffffff,12.0,3.0,0.0
822d97fffffffff,27.0,14.0,0.0
822da7fffffffff,145.0,93.0,0.0
822daffffffffff,290.0,117.0,0.0
822db7fffffffff,922.0,243.0,0.0
823817fffffffff,85.0,47.0,0.0
823827fffffffff,77.0,16.0,0.0
823847fffffffff,4.0,4.0,0.0
82384ffffffffff,8.0,8.0,0.0
82385ffffffffff,2.0,0.0,0.0
823867fffffffff,5.0,5.0,0.0
82386ffffffffff,4.0,0.0,0.0
823877fffffffff,2.0,2.0,0.0
823907fffffffff,119.0,31.0,0.0
823917fffffffff,180.0,102.0,0.0
82391ffffffffff,285.0,112.0,0.0
823957fffffffff,12.0,2.0,0.0
823987fffffffff,47.0,25.0,0.0
82398ffffffffff,120.0,44.0,0.0
823997fffffffff,80.0,44.0,0.0
82399ffffffffff,30.0,13.0,0.0
8239affffffffff,2.0,2.0,0.0
823e47fffffffff,112.0,112.0,0.0
823e5ffffffffff,7.0,1.0,0.0
823e67fffffffff,10.0,0.0,0.0
823e6ffffffffff,1629.0,512.0,0.0
823e77fffffffff,12.0,8.0,0.0
823f2ffffffffff,21.0,3.0,0.0
823f47fffffffff,5.0,5.0,0.0
823f67fffffffff,45.0,20.0,0.0
823f6ffffffffff,48.0,20.0,0.0
824227fffffffff,11.0,0.0,0.0
824237fffffffff,6.0,3.0,0.0
824257fffffffff,25.0,0.0,0.0
82425ffffffffff,3.0,0.0,0.0
8242c7fffffffff,427.0,0.0,0.0
8242e7fffffffff,47.0,0.0,0.0
824307fffffffff,2.0,0.0,0.0
824317fffffffff,9.0,0.0,0.0
82431ffffffffff,5.0,1.0,0.0
82432ffffffffff,2.0,0.0,0.0
824337fffffffff,5.0,0.0,0.0
824357fffffffff,12.0,6.0,0.0
824367fffffffff,47.0,6.0,0.0
824377fffffffff,6.0,0.0,0.0
824387fffffffff,6.0,6.0,0.0
82438ffffffffff,9.0,1.0,0.0
824397fffffffff,2.0,1.0,0.0
82439ffffffffff,3.0,3.0,0.0
8243a7fffffffff,139.0,96.0,0.0
8243affffffffff,260.0,211.0,0.0
825207fffffffff,9.0,3.0,0.0
825217fffffffff,9.0,3.0,0.0
82521ffffffffff,26.0,9.0,0.0
825237fffffffff,2.0,2.0,0.0
82524ffffffffff,2.0,1.0,0.0
82526ffffffffff,7.0,5.0,0.0
825287fffffffff,2.0,0.0,0.0
82528ffffffffff,5.0,4.0,1.0
8252b7fffffffff,1.0,1.0,0.0
8252d7fffffffff,83.0,49.0,18.0
8252dffffffffff,2.0,2.0,0.0
82530ffffffffff,4.0,2.0,0.0
825317fffffffff,7.0,0.0,0.0
825347fffffffff,9.0,2.0,0.0
82534ffffffffff,103.0,27.0,0.0
825357fffffffff,2.0,0.0,0.0
825367fffffffff,95.0,54.0,0.0
82536ffffffffff,67.0,22.0,0.0
8253b7fffffffff,12.0,7.0,0.0
825407fffffffff,2.0,0.0,2.0
825417fffffffff,121.0,25.0,37.0
82541ffffffffff,49.0,22.0,3.0
825437fffffffff,2.0,2.0,0.0
8254affffffffff,15.0,4.0,2.0
8254e7fffffffff,3.0,0.0,0.0
82550ffffffffff,3.0,3.0,0.0
825517fffffffff,1.0,0.0,0.0
82551ffffffffff,9.0,7.0,0.0
82585ffffffffff,3.0,1.0,1.0
825887fffffffff,1.0,0.0,0.0
82592ffffffffff,1.0,1.0,0.0
82599ffffffffff,2.0,1.0,1.0
826337fffffffff,16.0,6.0,0.0
826a4ffffffffff,6.0,0.0,0.0
826acffffffffff,1.0,0.0,0.0
826aeffffffffff,1.0,0.0,0.0
826b17fffffffff,7.0,0.0,0.0
827a47fffffffff,63.0,18.0,0.0
827a67fffffffff,123.0,27.0,0.0
827a6ffffffffff,2.0,0.0,0.0
827a77fffffffff,5.0,0.0,0.0
827acffffffffff,2.0,0.0,0.0
827adffffffffff,30.0,8.0,0.0
827aeffffffffff,22.0,7.0,0.0
827b4ffffffffff,4.0,2.0,0.0
827b5ffffffffff,23.0,7.0,0.0
8296b7fffffffff,1.0,0.0,0.0
