cell_id,Geokichla sibirica,Geokichla sibirica sibirica,Geokichla sibirica davisoni
8209a7fffffffff,1.0,0.0,0.0
821597fffffffff,1.0,0.0,0.0
821977fffffffff,2.0,0.0,0.0
822457fffffffff,5.0,0.0,0.0
822e2ffffffffff,1.0,0.0,0.0
822e77fffffffff,1.0,0.0,0.0
82309ffffffffff,8.0,0.0,0.0
82318ffffffffff,2.0,0.0,0.0
823cf7fffffffff,1.0,0.0,0.0
82411ffffffffff,8.0,0.0,0.0
8241b7fffffffff,2.0,0.0,0.0
8242c7fffffffff,2.0,0.0,0.0
824ba7fffffffff,2.0,0.0,0.0
824bb7fffffffff,1.0,0.0,0.0
82640ffffffffff,11.0,0.0,0.0
826417fffffffff,5.0,0.0,0.0
826437fffffffff,3.0,0.0,0.0
826487fffffffff,2.0,0.0,0.0
826507fffffffff,46.0,0.0,0.0
82651ffffffffff,11.0,0.0,0.0
826527fffffffff,41.0,0.0,0.0
826587fffffffff,2.0,0.0,0.0
82658ffffffffff,1.0,0.0,0.0
8265b7fffffffff,1.0,0.0,0.0
