cell_id,Percnostola rufifrons,Percnostola rufifrons minor/jensoni,Percnostola rufifrons rufifrons/subcristata
845f005ffffffff,1.0,0.0,0.0
845f007ffffffff,2.0,0.0,0.0
845f00bffffffff,21.0,0.0,0.0
845f011ffffffff,8.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0
845f017ffffffff,4.0,0.0,0.0
845f01bffffffff,7.0,0.0,0.0
845f025ffffffff,2.0,0.0,0.0
845f02bffffffff,2.0,0.0,0.0
845f035ffffffff,94.0,0.0,0.0
845f037ffffffff,2.0,0.0,0.0
845f03dffffffff,75.0,0.0,0.0
845f089ffffffff,4.0,0.0,0.0
845f08bffffffff,10.0,0.0,0.0
845f095ffffffff,13.0,0.0,0.0
845f09dffffffff,2.0,0.0,0.0
845f0d7ffffffff,8.0,0.0,0.0
845f105ffffffff,20.0,0.0,0.0
845f107ffffffff,5.0,0.0,0.0
845f10dffffffff,2.0,0.0,0.0
845f113ffffffff,1.0,0.0,0.0
845f117ffffffff,3.0,0.0,0.0
845f12bffffffff,11.0,0.0,0.0
845f139ffffffff,9.0,0.0,0.0
845f13dffffffff,10.0,0.0,0.0
845f143ffffffff,27.0,0.0,0.0
845f153ffffffff,1.0,0.0,0.0
845f155ffffffff,2.0,0.0,0.0
845f159ffffffff,1.0,0.0,0.0
845f15bffffffff,1.0,0.0,0.0
845f161ffffffff,7.0,0.0,0.0
845f163ffffffff,1.0,0.0,0.0
845f1c9ffffffff,1.0,0.0,0.0
845f1cbffffffff,10.0,0.0,0.0
845f1e9ffffffff,3.0,0.0,0.0
845f295ffffffff,1.0,0.0,0.0
845f299ffffffff,7.0,0.0,0.0
845f29dffffffff,1.0,0.0,0.0
845f2b3ffffffff,15.0,0.0,0.0
845f2bbffffffff,4.0,0.0,0.0
845f2c3ffffffff,2.0,0.0,0.0
8466485ffffffff,3.0,0.0,0.0
8466487ffffffff,2.0,0.0,0.0
84665a3ffffffff,6.0,0.0,0.0
84665abffffffff,19.0,4.0,0.0
84665bdffffffff,177.0,20.0,0.0
8466c95ffffffff,17.0,0.0,0.0
8466cdbffffffff,1.0,0.0,0.0
8466e8dffffffff,1.0,0.0,0.0
8466e9dffffffff,10.0,0.0,0.0
8466eebffffffff,2.0,0.0,0.0
84804cbffffffff,2.0,0.0,0.0
848068bffffffff,2.0,0.0,0.0
84806abffffffff,9.0,0.0,0.0
84806b3ffffffff,1.0,0.0,0.0
84806b7ffffffff,38.0,0.0,6.0
848a459ffffffff,4.0,0.0,0.0
848a45dffffffff,18.0,5.0,0.0
848a5a1ffffffff,1.0,0.0,0.0
848a683ffffffff,1.0,0.0,0.0
848a68bffffffff,5.0,3.0,0.0
848a699ffffffff,7.0,0.0,0.0
848a6b5ffffffff,1.0,0.0,0.0
848a8cbffffffff,1.0,0.0,0.0
848aab3ffffffff,1.0,0.0,1.0
848aab7ffffffff,3.0,0.0,0.0
848ad13ffffffff,60.0,0.0,30.0
848adc5ffffffff,3.0,0.0,3.0
848ade3ffffffff,4.0,0.0,2.0
848af09ffffffff,2.0,0.0,0.0
848af0dffffffff,2.0,0.0,1.0
848af29ffffffff,161.0,0.0,90.0
848af2bffffffff,1.0,0.0,0.0
848af2dffffffff,38.0,0.0,22.0
848af43ffffffff,2.0,0.0,0.0
848af47ffffffff,2.0,0.0,0.0
848af61ffffffff,85.0,0.0,43.0
848af63ffffffff,252.0,0.0,60.0
848af67ffffffff,241.0,0.0,2.0
848af6bffffffff,28.0,0.0,12.0
