cell_id,Artemisiospiza belli,Artemisiospiza belli belli,Artemisiospiza belli canescens,Artemisiospiza belli clementeae,Artemisiospiza belli cinerea
832802fffffffff,3.0,3.0,0.0,0.0,0.0
832806fffffffff,2.0,2.0,0.0,0.0,0.0
832810fffffffff,1.0,0.0,0.0,0.0,0.0
832815fffffffff,25.0,0.0,0.0,0.0,0.0
832830fffffffff,23.0,3.0,0.0,0.0,0.0
832831fffffffff,32.0,30.0,0.0,0.0,0.0
832832fffffffff,18.0,3.0,0.0,0.0,0.0
832833fffffffff,73.0,22.0,0.0,0.0,0.0
832834fffffffff,122.0,16.0,0.0,0.0,0.0
832836fffffffff,8.0,1.0,0.0,0.0,0.0
832913fffffffff,2.0,0.0,0.0,0.0,0.0
83291afffffffff,1.0,1.0,0.0,0.0,0.0
832981fffffffff,7.0,0.0,0.0,0.0,0.0
832984fffffffff,4.0,0.0,1.0,0.0,0.0
832985fffffffff,2.0,0.0,0.0,0.0,0.0
832986fffffffff,26.0,0.0,7.0,0.0,0.0
83298cfffffffff,11.0,0.0,2.0,0.0,0.0
83298dfffffffff,2.0,0.0,0.0,0.0,0.0
832995fffffffff,3.0,0.0,3.0,0.0,0.0
8329a0fffffffff,99.0,10.0,0.0,0.0,0.0
8329a1fffffffff,58.0,0.0,7.0,0.0,0.0
8329a2fffffffff,1.0,0.0,0.0,0.0,0.0
8329a3fffffffff,55.0,0.0,11.0,0.0,0.0
8329a4fffffffff,9.0,1.0,0.0,0.0,0.0
8329a5fffffffff,112.0,0.0,0.0,112.0,0.0
8329a6fffffffff,139.0,0.0,43.0,0.0,0.0
8329a8fffffffff,14.0,0.0,6.0,0.0,0.0
8329a9fffffffff,22.0,5.0,9.0,0.0,0.0
8329aafffffffff,1.0,0.0,0.0,0.0,0.0
8329acfffffffff,37.0,0.0,37.0,0.0,0.0
8329adfffffffff,2.0,2.0,0.0,0.0,0.0
8329aefffffffff,23.0,0.0,13.0,0.0,0.0
8329b0fffffffff,8.0,0.0,2.0,0.0,0.0
8329b5fffffffff,11.0,0.0,11.0,0.0,0.0
8329b6fffffffff,2.0,0.0,0.0,0.0,0.0
834843fffffffff,7.0,4.0,0.0,0.0,0.0
83484afffffffff,1.0,1.0,0.0,0.0,0.0
834859fffffffff,9.0,1.0,0.0,0.0,0.0
83485afffffffff,2.0,0.0,0.0,0.0,0.0
83485bfffffffff,16.0,0.0,6.0,0.0,0.0
83485dfffffffff,6.0,4.0,0.0,0.0,0.0
834871fffffffff,1.0,1.0,0.0,0.0,0.0
834873fffffffff,9.0,0.0,0.0,0.0,6.0
8348e8fffffffff,23.0,0.0,2.0,0.0,0.0
8348e9fffffffff,285.0,0.0,104.0,0.0,0.0
8348ebfffffffff,2.0,0.0,0.0,0.0,0.0
