cell_id,Thamnophilus bernardi,Thamnophilus bernardi bernardi,Thamnophilus bernardi shumbae
838f08fffffffff,93.0,12.0,0.0
838f09fffffffff,203.0,8.0,0.0
838f0bfffffffff,17.0,0.0,0.0
838f0cfffffffff,4.0,0.0,0.0
838f0dfffffffff,945.0,137.0,0.0
838f28fffffffff,12.0,0.0,0.0
838f29fffffffff,5.0,0.0,0.0
838f2afffffffff,641.0,40.0,0.0
838f2bfffffffff,438.0,26.0,0.0
838f2efffffffff,137.0,22.0,0.0
838f50fffffffff,1298.0,120.0,0.0
838f51fffffffff,59.0,4.0,0.0
838f54fffffffff,362.0,30.0,71.0
838f55fffffffff,24.0,0.0,15.0
838f56fffffffff,115.0,2.0,0.0
838f5efffffffff,16.0,0.0,0.0
838f72fffffffff,153.0,19.0,0.0
838f73fffffffff,50.0,0.0,30.0
