cell_id,Hirundapus caudacutus,Hirundapus caudacutus caudacutus,Hirundapus caudacutus nudipes
821487fffffffff,2.0,0.0,0.0
82148ffffffffff,2.0,0.0,0.0
82149ffffffffff,2.0,0.0,0.0
8214affffffffff,26.0,0.0,0.0
8214cffffffffff,4.0,0.0,0.0
82158ffffffffff,5.0,0.0,0.0
82159ffffffffff,1.0,0.0,0.0
822467fffffffff,11.0,0.0,0.0
822547fffffffff,28.0,0.0,0.0
822e0ffffffffff,4.0,0.0,0.0
822e17fffffffff,2.0,0.0,0.0
822e1ffffffffff,11.0,0.0,0.0
822e67fffffffff,1.0,0.0,0.0
822e6ffffffffff,2.0,0.0,0.0
822e77fffffffff,10.0,0.0,0.0
822e9ffffffffff,2.0,0.0,0.0
822eaffffffffff,12.0,0.0,0.0
822ec7fffffffff,10.0,0.0,0.0
822ecffffffffff,3.0,0.0,0.0
822ed7fffffffff,3.0,0.0,0.0
822edffffffffff,2.0,0.0,0.0
822ef7fffffffff,2.0,0.0,0.0
82301ffffffffff,4.0,0.0,0.0
823037fffffffff,8.0,0.0,0.0
823087fffffffff,2.0,0.0,0.0
82309ffffffffff,19.0,2.0,0.0
8230c7fffffffff,1.0,0.0,0.0
8230e7fffffffff,1.0,0.0,0.0
8230f7fffffffff,1.0,0.0,0.0
823167fffffffff,1.0,0.0,0.0
82316ffffffffff,15.0,0.0,0.0
823187fffffffff,1.0,0.0,0.0
82318ffffffffff,6.0,0.0,0.0
8231affffffffff,13.0,0.0,0.0
823c07fffffffff,3.0,0.0,0.0
823c0ffffffffff,62.0,0.0,0.0
823c1ffffffffff,36.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0
823c57fffffffff,88.0,0.0,0.0
823c5ffffffffff,27.0,0.0,0.0
823c6ffffffffff,2.0,0.0,0.0
823ce7fffffffff,99.0,0.0,0.0
823d17fffffffff,15.0,0.0,0.0
823d1ffffffffff,11.0,0.0,0.0
823daffffffffff,9.0,0.0,0.0
82400ffffffffff,2.0,0.0,0.0
82401ffffffffff,2.0,0.0,0.0
824057fffffffff,4.0,0.0,0.0
82405ffffffffff,8.0,0.0,0.0
824097fffffffff,2.0,0.0,0.0
8240a7fffffffff,1.0,0.0,0.0
8240c7fffffffff,27.0,0.0,0.0
8240e7fffffffff,43.0,0.0,2.0
8240effffffffff,87.0,0.0,1.0
824107fffffffff,6.0,0.0,0.0
82411ffffffffff,10.0,0.0,0.0
82414ffffffffff,2.0,0.0,0.0
82415ffffffffff,1.0,0.0,0.0
824187fffffffff,3.0,0.0,0.0
824197fffffffff,2.0,0.0,0.0
82419ffffffffff,1.0,0.0,0.0
8241a7fffffffff,12.0,0.0,0.0
8241b7fffffffff,37.0,0.0,0.0
824a27fffffffff,1.0,0.0,0.0
824b37fffffffff,1.0,0.0,0.0
824b87fffffffff,607.0,0.0,0.0
824ba7fffffffff,98.0,0.0,0.0
824bb7fffffffff,17.0,0.0,0.0
826437fffffffff,170.0,1.0,2.0
826507fffffffff,1.0,0.0,0.0
826587fffffffff,6.0,0.0,0.0
8265b7fffffffff,5.0,0.0,0.0
826817fffffffff,3.0,0.0,0.0
82681ffffffffff,10.0,0.0,0.0
8268cffffffffff,2.0,1.0,0.0
8272a7fffffffff,2.0,0.0,0.0
8272d7fffffffff,2.0,0.0,0.0
8272f7fffffffff,13.0,0.0,0.0
827397fffffffff,10.0,0.0,0.0
82739ffffffffff,6.0,0.0,0.0
828c97fffffffff,2.0,0.0,0.0
828db7fffffffff,2.0,0.0,0.0
829467fffffffff,9.0,3.0,0.0
82950ffffffffff,2.0,0.0,0.0
829547fffffffff,4.0,0.0,0.0
829567fffffffff,2.0,0.0,0.0
82956ffffffffff,18.0,0.0,0.0
8295a7fffffffff,2.0,0.0,0.0
829c07fffffffff,36.0,0.0,0.0
829c0ffffffffff,9.0,0.0,0.0
829c1ffffffffff,11.0,0.0,0.0
829c27fffffffff,245.0,0.0,0.0
829caffffffffff,4.0,0.0,0.0
829cf7fffffffff,32.0,0.0,0.0
829d07fffffffff,2.0,0.0,0.0
829d0ffffffffff,38.0,0.0,0.0
829d27fffffffff,18.0,0.0,0.0
829d2ffffffffff,10.0,0.0,0.0
82b9a7fffffffff,2.0,0.0,0.0
82ba6ffffffffff,8.0,0.0,0.0
82be0ffffffffff,708.0,0.0,0.0
82be1ffffffffff,473.0,0.0,0.0
82be2ffffffffff,51.0,0.0,0.0
82be47fffffffff,130.0,0.0,0.0
82be4ffffffffff,2.0,0.0,0.0
82be57fffffffff,5.0,0.0,0.0
82be67fffffffff,319.0,0.0,0.0
82be6ffffffffff,66.0,0.0,0.0
82be77fffffffff,405.0,0.0,0.0
82be8ffffffffff,1742.0,0.0,0.0
82beaffffffffff,493.0,0.0,0.0
82bed7fffffffff,3.0,0.0,0.0
82bee7fffffffff,49.0,0.0,0.0
82bef7fffffffff,125.0,0.0,0.0
82bf4ffffffffff,56.0,0.0,0.0
82bf5ffffffffff,6.0,0.0,0.0
82bf6ffffffffff,7.0,0.0,0.0
82bf8ffffffffff,6.0,0.0,0.0
82d897fffffffff,11.0,0.0,0.0
