cell_id,Setophaga dominica,Setophaga dominica albilora,Setophaga dominica dominica/stoddardi
834444fffffffff,152.0,0.0,0.0
834445fffffffff,41.0,0.0,0.0
834446fffffffff,657.0,0.0,0.0
834448fffffffff,135.0,0.0,0.0
834449fffffffff,308.0,0.0,0.0
83444afffffffff,36.0,0.0,0.0
83444bfffffffff,128.0,0.0,0.0
83444cfffffffff,143.0,0.0,0.0
83444dfffffffff,383.0,0.0,0.0
83444efffffffff,180.0,0.0,0.0
834450fffffffff,1002.0,0.0,0.0
834451fffffffff,39.0,0.0,0.0
834452fffffffff,108.0,0.0,0.0
834453fffffffff,26.0,0.0,0.0
834455fffffffff,375.0,0.0,0.0
834456fffffffff,118.0,0.0,0.0
834458fffffffff,15.0,0.0,0.0
834459fffffffff,49.0,0.0,0.0
83445afffffffff,368.0,0.0,0.0
83445bfffffffff,486.0,0.0,0.0
83445cfffffffff,92.0,0.0,0.0
83445dfffffffff,17.0,0.0,0.0
83445efffffffff,17.0,0.0,0.0
834463fffffffff,56.0,0.0,0.0
834468fffffffff,287.0,2.0,0.0
834469fffffffff,139.0,0.0,0.0
83446afffffffff,467.0,6.0,0.0
83446bfffffffff,154.0,2.0,0.0
83446cfffffffff,1501.0,4.0,0.0
83446dfffffffff,136.0,1.0,0.0
83446efffffffff,801.0,2.0,0.0
834471fffffffff,30.0,0.0,0.0
834473fffffffff,701.0,0.0,0.0
834480fffffffff,14.0,0.0,0.0
834484fffffffff,408.0,0.0,0.0
834485fffffffff,141.0,0.0,0.0
834486fffffffff,230.0,0.0,0.0
83448cfffffffff,2.0,0.0,0.0
8344a0fffffffff,5.0,0.0,0.0
8344a1fffffffff,4232.0,0.0,177.0
8344a2fffffffff,34.0,0.0,0.0
8344a3fffffffff,576.0,0.0,0.0
8344a5fffffffff,990.0,0.0,33.0
8344a8fffffffff,1187.0,0.0,19.0
8344a9fffffffff,3616.0,0.0,113.0
8344aafffffffff,1.0,0.0,0.0
8344abfffffffff,509.0,0.0,4.0
8344acfffffffff,404.0,0.0,18.0
8344adfffffffff,684.0,0.0,24.0
8344aefffffffff,1670.0,0.0,78.0
8344b0fffffffff,23.0,0.0,0.0
8344b1fffffffff,67.0,0.0,0.0
8344b2fffffffff,2.0,0.0,0.0
8344b3fffffffff,3.0,0.0,0.0
8344b5fffffffff,714.0,0.0,0.0
8344b6fffffffff,28.0,0.0,0.0
8344c0fffffffff,1050.0,0.0,45.0
8344c1fffffffff,798.0,0.0,26.0
8344c2fffffffff,719.0,0.0,20.0
8344c3fffffffff,1229.0,0.0,170.0
8344c4fffffffff,41.0,0.0,3.0
8344c5fffffffff,138.0,0.0,3.0
8344c6fffffffff,106.0,0.0,1.0
8344c8fffffffff,396.0,0.0,0.0
8344c9fffffffff,253.0,0.0,0.0
8344cafffffffff,1478.0,0.0,0.0
8344cbfffffffff,829.0,0.0,0.0
8344ccfffffffff,639.0,0.0,24.0
8344cdfffffffff,382.0,0.0,0.0
8344cefffffffff,1354.0,0.0,83.0
8344d0fffffffff,5900.0,0.0,25.0
8344d1fffffffff,1141.0,0.0,0.0
8344d2fffffffff,573.0,0.0,0.0
8344d3fffffffff,853.0,0.0,0.0
8344d5fffffffff,2431.0,0.0,110.0
8344d8fffffffff,391.0,0.0,4.0
8344d9fffffffff,1317.0,0.0,2.0
8344dafffffffff,773.0,0.0,7.0
8344dbfffffffff,434.0,0.0,0.0
8344dcfffffffff,358.0,0.0,0.0
8344ddfffffffff,1858.0,0.0,14.0
8344defffffffff,844.0,0.0,0.0
8344e0fffffffff,304.0,0.0,5.0
8344e1fffffffff,31.0,0.0,0.0
8344e2fffffffff,578.0,0.0,9.0
8344e3fffffffff,70.0,0.0,0.0
8344e4fffffffff,211.0,0.0,0.0
8344e5fffffffff,151.0,0.0,0.0
8344e6fffffffff,1246.0,0.0,0.0
8344e8fffffffff,111.0,0.0,0.0
8344e9fffffffff,261.0,0.0,0.0
8344eafffffffff,121.0,0.0,0.0
8344ebfffffffff,60.0,0.0,0.0
8344ecfffffffff,19.0,0.0,0.0
8344edfffffffff,282.0,0.0,0.0
8344eefffffffff,331.0,0.0,0.0
8344f0fffffffff,4092.0,0.0,243.0
8344f1fffffffff,108.0,0.0,10.0
8344f3fffffffff,4505.0,0.0,259.0
8344f4fffffffff,7213.0,0.0,253.0
8344f5fffffffff,760.0,0.0,24.0
8344f6fffffffff,1129.0,0.0,7.0
834501fffffffff,256.0,7.0,0.0
834505fffffffff,1021.0,107.0,2.0
834508fffffffff,350.0,4.0,0.0
834509fffffffff,1075.0,39.0,0.0
83450afffffffff,2955.0,138.0,0.0
83450bfffffffff,646.0,34.0,0.0
83450cfffffffff,159.0,0.0,0.0
83450dfffffffff,185.0,3.0,0.0
83450efffffffff,923.0,23.0,0.0
834510fffffffff,2.0,0.0,0.0
834519fffffffff,23.0,0.0,0.0
83451bfffffffff,30.0,2.0,0.0
83451dfffffffff,16.0,0.0,0.0
834520fffffffff,86.0,0.0,0.0
834521fffffffff,804.0,20.0,0.0
834522fffffffff,326.0,0.0,0.0
834523fffffffff,974.0,59.0,0.0
