cell_id,Anthus similis,Anthus similis bannermani,Anthus similis captus,Anthus similis arabicus,Anthus similis sokotrae,Anthus similis chyuluensis,Anthus similis [nivescens Group],Anthus similis jerdoni/decaptus,Anthus similis similis/travancoriensis,Anthus similis yamethini
822c87fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822c8ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822db7fffffffff,690.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cb7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823ccffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
823cdffffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
823d17fffffffff,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d37fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d87fffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d8ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823da7fffffffff,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823daffffffffff,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823db7fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823e6ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824237fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82424ffffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824257fffffffff,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82425ffffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82426ffffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242c7fffffffff,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242cffffffffff,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242d7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242dffffffffff,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
8242e7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242effffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82430ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824317fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82431ffffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824337fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824387fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82438ffffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82439ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8243a7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8243affffffffff,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825207fffffffff,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825217fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82521ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825237fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82524ffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82526ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825287fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82529ffffffffff,80.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
8252cffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8252d7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82534ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826017fffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826087fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
