cell_id,Emberizoides herbicola,Emberizoides herbicola [sphenurus Group],Emberizoides herbicola herbicola
825f0ffffffffff,2.0,0.0,0.0
825f17fffffffff,24.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f27fffffffff,19.0,0.0,0.0
825f2ffffffffff,177.0,0.0,0.0
825f47fffffffff,7.0,0.0,0.0
825f4ffffffffff,3.0,0.0,0.0
825f6ffffffffff,9.0,0.0,0.0
825f77fffffffff,64.0,0.0,0.0
82660ffffffffff,25.0,0.0,0.0
82661ffffffffff,238.0,0.0,0.0
82662ffffffffff,13.0,0.0,0.0
826647fffffffff,191.0,0.0,0.0
82664ffffffffff,1.0,0.0,0.0
826657fffffffff,299.0,0.0,0.0
82665ffffffffff,2.0,0.0,0.0
826667fffffffff,17.0,0.0,0.0
82666ffffffffff,8.0,0.0,0.0
826677fffffffff,73.0,0.0,0.0
8266a7fffffffff,504.0,0.0,0.0
8266c7fffffffff,64.0,0.0,0.0
8266d7fffffffff,1.0,0.0,0.0
8266e7fffffffff,518.0,0.0,0.0
8266effffffffff,248.0,0.0,0.0
8266f7fffffffff,199.0,0.0,0.0
826747fffffffff,4.0,0.0,0.0
82674ffffffffff,130.0,0.0,0.0
82675ffffffffff,19.0,0.0,0.0
828047fffffffff,3.0,0.0,0.0
82804ffffffffff,7.0,0.0,0.0
828057fffffffff,9.0,0.0,0.0
828067fffffffff,6.0,0.0,0.0
82806ffffffffff,7.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0
828107fffffffff,126.0,0.0,0.0
82810ffffffffff,2.0,0.0,0.0
828117fffffffff,6.0,0.0,0.0
828127fffffffff,45.0,0.0,0.0
82812ffffffffff,3.0,0.0,0.0
828137fffffffff,78.0,0.0,0.0
828147fffffffff,47.0,0.0,0.0
82814ffffffffff,24.0,0.0,0.0
828157fffffffff,1.0,0.0,0.0
82815ffffffffff,16.0,0.0,0.0
828167fffffffff,10.0,0.0,0.0
828177fffffffff,64.0,0.0,0.0
828187fffffffff,90.0,0.0,0.0
82818ffffffffff,2.0,0.0,0.0
82819ffffffffff,12.0,0.0,0.0
8281a7fffffffff,2.0,0.0,0.0
8281affffffffff,7.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0
828adffffffffff,24.0,0.0,0.0
828b0ffffffffff,196.0,0.0,0.0
828b17fffffffff,5.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b27fffffffff,159.0,0.0,0.0
828b2ffffffffff,11.0,0.0,0.0
828b37fffffffff,2.0,0.0,0.0
828b57fffffffff,32.0,0.0,0.0
828b77fffffffff,57.0,0.0,0.0
828b87fffffffff,7.0,0.0,0.0
828ba7fffffffff,13.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0
828bb7fffffffff,191.0,0.0,0.0
828f47fffffffff,64.0,0.0,0.0
82a597fffffffff,2.0,0.0,0.0
82a807fffffffff,47.0,0.0,0.0
82a80ffffffffff,12.0,0.0,0.0
82a817fffffffff,592.0,0.0,0.0
82a81ffffffffff,685.0,0.0,0.0
82a827fffffffff,12.0,0.0,0.0
82a82ffffffffff,5.0,0.0,0.0
82a837fffffffff,18.0,0.0,0.0
82a847fffffffff,100.0,0.0,0.0
82a84ffffffffff,1.0,0.0,0.0
82a857fffffffff,64.0,0.0,0.0
82a85ffffffffff,38.0,0.0,0.0
82a867fffffffff,48.0,0.0,0.0
82a86ffffffffff,1.0,0.0,0.0
82a877fffffffff,43.0,0.0,0.0
82a887fffffffff,173.0,0.0,0.0
82a88ffffffffff,243.0,0.0,0.0
82a897fffffffff,44.0,0.0,0.0
82a89ffffffffff,2.0,0.0,0.0
82a8a7fffffffff,358.0,0.0,0.0
82a8affffffffff,418.0,0.0,0.0
82a8b7fffffffff,26.0,0.0,0.0
82a8c7fffffffff,42.0,0.0,0.0
82a8d7fffffffff,242.0,0.0,0.0
82a8dffffffffff,159.0,0.0,0.0
82a8e7fffffffff,3.0,0.0,0.0
82a8effffffffff,91.0,0.0,0.0
82a8f7fffffffff,72.0,0.0,0.0
82a907fffffffff,39.0,0.0,0.0
82a90ffffffffff,32.0,0.0,0.0
82a91ffffffffff,2.0,0.0,0.0
82a92ffffffffff,45.0,0.0,0.0
82a947fffffffff,1068.0,0.0,0.0
82a94ffffffffff,150.0,0.0,0.0
82a957fffffffff,3.0,0.0,0.0
82a95ffffffffff,203.0,0.0,0.0
82a967fffffffff,202.0,0.0,0.0
82a96ffffffffff,220.0,0.0,0.0
82a977fffffffff,225.0,0.0,0.0
82b327fffffffff,5.0,0.0,0.0
82b367fffffffff,3.0,0.0,0.0
82b36ffffffffff,3.0,0.0,0.0
82c2dffffffffff,6.0,0.0,0.0
