cell_id,Pericrocotus speciosus,Pericrocotus speciosus [speciosus Group],Pericrocotus speciosus leytensis/novus,Pericrocotus speciosus [marchesae Group],Pericrocotus speciosus exul/siebersi
833c02fffffffff,2.0,2.0,0.0,0.0,0.0
833c06fffffffff,3.0,3.0,0.0,0.0,0.0
833c0afffffffff,76.0,0.0,0.0,0.0,0.0
833c15fffffffff,5.0,3.0,0.0,0.0,0.0
833c19fffffffff,23.0,0.0,0.0,0.0,0.0
833c1bfffffffff,4.0,0.0,0.0,0.0,0.0
833c1cfffffffff,3.0,0.0,0.0,0.0,0.0
833c1dfffffffff,38.0,0.0,0.0,0.0,0.0
833c33fffffffff,4.0,3.0,0.0,0.0,0.0
833c34fffffffff,4.0,0.0,0.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0,0.0,0.0
833c58fffffffff,1.0,1.0,0.0,0.0,0.0
833c5bfffffffff,1.0,0.0,0.0,0.0,0.0
833c83fffffffff,3.0,0.0,0.0,0.0,0.0
833c8cfffffffff,7.0,0.0,0.0,0.0,0.0
833c90fffffffff,2.0,2.0,0.0,0.0,0.0
833c94fffffffff,2.0,2.0,0.0,0.0,0.0
833c96fffffffff,3.0,0.0,0.0,0.0,0.0
833ca4fffffffff,2.0,0.0,0.0,0.0,0.0
833cabfffffffff,8.0,0.0,0.0,0.0,0.0
833cb5fffffffff,5.0,4.0,0.0,0.0,0.0
833cc0fffffffff,2.0,0.0,0.0,0.0,0.0
833cc4fffffffff,3.0,0.0,0.0,0.0,0.0
833cdcfffffffff,2.0,0.0,0.0,0.0,0.0
833ce0fffffffff,7.0,0.0,0.0,0.0,0.0
833ce1fffffffff,10.0,0.0,0.0,0.0,0.0
833ce4fffffffff,4.0,0.0,0.0,0.0,0.0
833ce5fffffffff,17.0,0.0,0.0,0.0,0.0
833cecfffffffff,17.0,2.0,0.0,0.0,0.0
833cf2fffffffff,1.0,0.0,0.0,0.0,0.0
833d10fffffffff,4.0,0.0,0.0,0.0,0.0
833d13fffffffff,3.0,3.0,0.0,0.0,0.0
833d99fffffffff,2.0,2.0,0.0,0.0,0.0
833d9bfffffffff,2.0,0.0,0.0,0.0,0.0
833da9fffffffff,8.0,0.0,0.0,0.0,0.0
833dadfffffffff,18.0,13.0,0.0,0.0,0.0
834119fffffffff,1.0,0.0,0.0,0.0,0.0
834143fffffffff,4.0,0.0,0.0,0.0,0.0
834165fffffffff,3.0,0.0,0.0,0.0,0.0
8341a4fffffffff,52.0,7.0,0.0,0.0,0.0
8341a5fffffffff,53.0,3.0,0.0,0.0,0.0
8341b3fffffffff,2.0,2.0,0.0,0.0,0.0
8341b4fffffffff,45.0,0.0,0.0,0.0,0.0
8341b5fffffffff,13.0,0.0,0.0,0.0,0.0
834ba0fffffffff,1.0,0.0,0.0,0.0,0.0
834ba5fffffffff,5.0,0.0,0.0,0.0,0.0
836093fffffffff,6.0,0.0,0.0,0.0,0.0
8360b2fffffffff,2.0,0.0,0.0,0.0,0.0
83619afffffffff,90.0,0.0,0.0,0.0,0.0
8364e4fffffffff,4.0,4.0,0.0,0.0,0.0
8364e6fffffffff,1.0,1.0,0.0,0.0,0.0
836500fffffffff,33.0,4.0,0.0,0.0,0.0
836502fffffffff,24.0,0.0,0.0,0.0,0.0
836503fffffffff,23.0,0.0,0.0,0.0,0.0
836504fffffffff,1.0,0.0,0.0,0.0,0.0
836505fffffffff,28.0,0.0,0.0,0.0,0.0
836518fffffffff,43.0,0.0,0.0,0.0,0.0
83651cfffffffff,7.0,2.0,0.0,0.0,0.0
83651dfffffffff,28.0,3.0,0.0,0.0,0.0
836523fffffffff,1.0,0.0,0.0,0.0,0.0
836599fffffffff,3.0,0.0,0.0,0.0,0.0
83684efffffffff,1.0,0.0,0.0,0.0,0.0
838db5fffffffff,2.0,0.0,0.0,0.0,2.0
