cell_id,Geothlypis semiflava,Geothlypis semiflava bairdi,Geothlypis semiflava chiriquensis,Geothlypis semiflava semiflava
826617fffffffff,2.0,0.0,0.0,0.0
82661ffffffffff,370.0,0.0,0.0,0.0
8266a7fffffffff,435.0,0.0,0.0,0.0
8266b7fffffffff,1414.0,0.0,83.0,0.0
8266c7fffffffff,34.0,0.0,0.0,0.0
8266d7fffffffff,2011.0,0.0,0.0,86.0
8266e7fffffffff,42.0,0.0,0.0,0.0
8266f7fffffffff,306.0,0.0,0.0,0.0
826797fffffffff,10.0,0.0,0.0,0.0
82679ffffffffff,1164.0,0.0,0.0,0.0
826d6ffffffffff,3159.0,0.0,0.0,0.0
828f0ffffffffff,318.0,0.0,0.0,10.0
828f27fffffffff,3.0,0.0,0.0,0.0
828f2ffffffffff,260.0,0.0,0.0,0.0
828f77fffffffff,22.0,0.0,0.0,0.0
