cell_id,Antigone canadensis,Antigone canadensis canadensis,Antigone canadensis tabida/rowani,Antigone canadensis pulla,Antigone canadensis pratensis,Antigone canadensis nesiotes
8402417ffffffff,78.0,0.0,0.0,0.0,0.0,0.0
84024c1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84024c9ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84024e9ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
84025cbffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84028a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8402c23ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8402ca5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8402cadffffffff,246.0,0.0,0.0,0.0,0.0,0.0
8402d63ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8402debffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84041abffffffff,12.0,0.0,0.0,0.0,0.0,0.0
840c021ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c033ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
840c037ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
840c03bffffffff,49.0,0.0,0.0,0.0,0.0,0.0
840c04bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c051ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c061ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840c063ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c067ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c141ffffffff,62.0,0.0,0.0,0.0,0.0,0.0
840c143ffffffff,1610.0,0.0,0.0,0.0,0.0,0.0
840c145ffffffff,84.0,0.0,0.0,0.0,0.0,0.0
840c147ffffffff,730.0,0.0,0.0,0.0,0.0,0.0
840c149ffffffff,150.0,0.0,0.0,0.0,0.0,0.0
840c14bffffffff,22.0,0.0,0.0,0.0,0.0,0.0
840c14dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c15dffffffff,14.0,0.0,0.0,0.0,0.0,0.0
840c1b1ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
840c1b5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c1e1ffffffff,66.0,0.0,0.0,0.0,0.0,0.0
840c231ffffffff,47.0,0.0,0.0,0.0,0.0,0.0
840c293ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c297ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c29bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c2a9ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
840c2cdffffffff,26.0,0.0,0.0,0.0,0.0,0.0
840c309ffffffff,36.0,0.0,0.0,0.0,0.0,0.0
840c335ffffffff,213.0,0.0,0.0,0.0,0.0,0.0
