cell_id,Ardea herodias,Ardea herodias [herodias Group],Ardea herodias occidentalis,Ardea herodias wardi x occidentalis
820747fffffffff,2.0,0.0,0.0,0.0
820c47fffffffff,85.0,0.0,0.0,0.0
820c57fffffffff,8.0,0.0,0.0,0.0
820c5ffffffffff,12.0,3.0,0.0,0.0
820c77fffffffff,20.0,0.0,0.0,0.0
820d5ffffffffff,2.0,0.0,0.0,0.0
820e4ffffffffff,3.0,0.0,0.0,0.0
820e87fffffffff,8.0,0.0,0.0,0.0
820e9ffffffffff,2.0,2.0,0.0,0.0
820eeffffffffff,18.0,0.0,0.0,0.0
82124ffffffffff,2.0,2.0,0.0,0.0
82125ffffffffff,6.0,0.0,0.0,0.0
82128ffffffffff,8.0,0.0,0.0,0.0
8212c7fffffffff,24.0,2.0,0.0,0.0
8212cffffffffff,33.0,3.0,0.0,0.0
8212dffffffffff,10.0,6.0,0.0,0.0
8212effffffffff,2.0,0.0,0.0,0.0
821387fffffffff,17.0,0.0,0.0,0.0
82139ffffffffff,2.0,2.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0,0.0
821877fffffffff,12.0,0.0,0.0,0.0
821aa7fffffffff,25.0,0.0,0.0,0.0
821ab7fffffffff,3.0,0.0,0.0,0.0
821b87fffffffff,1.0,0.0,0.0,0.0
821b9ffffffffff,31.0,2.0,0.0,0.0
821bb7fffffffff,2.0,0.0,0.0,0.0
822607fffffffff,3.0,0.0,0.0,0.0
82260ffffffffff,47.0,30.0,0.0,0.0
822617fffffffff,6.0,0.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0,0.0
822627fffffffff,11.0,1.0,0.0,0.0
822637fffffffff,4.0,2.0,0.0,0.0
822647fffffffff,70.0,1.0,0.0,0.0
82264ffffffffff,411.0,327.0,0.0,0.0
822657fffffffff,94.0,11.0,0.0,0.0
82265ffffffffff,82.0,52.0,0.0,0.0
822667fffffffff,24.0,9.0,0.0,0.0
82266ffffffffff,58.0,2.0,7.0,0.0
822677fffffffff,6.0,0.0,0.0,0.0
822687fffffffff,176.0,8.0,0.0,0.0
82268ffffffffff,497.0,101.0,0.0,0.0
822697fffffffff,272.0,143.0,0.0,0.0
82269ffffffffff,139.0,12.0,0.0,0.0
8226affffffffff,195.0,11.0,0.0,0.0
8226b7fffffffff,7.0,1.0,0.0,0.0
8226c7fffffffff,6.0,4.0,0.0,0.0
8226cffffffffff,140.0,3.0,0.0,0.0
8226d7fffffffff,24.0,2.0,0.0,0.0
8226dffffffffff,5.0,0.0,0.0,0.0
8226e7fffffffff,100.0,45.0,0.0,0.0
8226effffffffff,13.0,7.0,0.0,0.0
8226f7fffffffff,82.0,20.0,0.0,0.0
822707fffffffff,2.0,2.0,0.0,0.0
82270ffffffffff,2.0,0.0,0.0,0.0
822717fffffffff,4.0,2.0,0.0,0.0
82271ffffffffff,4.0,0.0,0.0,0.0
822747fffffffff,75.0,26.0,0.0,0.0
82274ffffffffff,1058.0,112.0,18.0,0.0
822757fffffffff,37.0,13.0,0.0,0.0
82275ffffffffff,81.0,11.0,0.0,0.0
822767fffffffff,19.0,2.0,0.0,0.0
82276ffffffffff,107.0,29.0,0.0,0.0
822777fffffffff,11.0,5.0,0.0,0.0
822787fffffffff,7.0,4.0,0.0,0.0
82279ffffffffff,20.0,10.0,0.0,0.0
8227a7fffffffff,22.0,2.0,0.0,0.0
8227affffffffff,7.0,0.0,0.0,0.0
822807fffffffff,1.0,0.0,0.0,0.0
822817fffffffff,67.0,55.0,0.0,0.0
82281ffffffffff,41.0,26.0,0.0,0.0
822837fffffffff,3471.0,14.0,0.0,0.0
822887fffffffff,93.0,29.0,0.0,0.0
82288ffffffffff,8.0,4.0,0.0,0.0
822897fffffffff,23.0,7.0,0.0,0.0
82289ffffffffff,61.0,26.0,0.0,0.0
8228a7fffffffff,2.0,0.0,0.0,0.0
8228affffffffff,16.0,5.0,0.0,0.0
8228b7fffffffff,43.0,6.0,0.0,0.0
8228c7fffffffff,17.0,5.0,0.0,0.0
8228d7fffffffff,36.0,26.0,0.0,0.0
8228dffffffffff,28.0,11.0,0.0,0.0
8228f7fffffffff,65.0,30.0,0.0,0.0
822917fffffffff,10.0,5.0,0.0,0.0
82291ffffffffff,4.0,1.0,0.0,0.0
822987fffffffff,9.0,0.0,0.0,0.0
82298ffffffffff,48.0,7.0,0.0,0.0
822997fffffffff,6.0,1.0,0.0,0.0
