cell_id,Ketupa poensis,Ketupa poensis poensis,Ketupa poensis vosseleri
835883fffffffff,1.0,1.0,0.0
83588afffffffff,1.0,1.0,0.0
8358c8fffffffff,1.0,1.0,0.0
8358d3fffffffff,24.0,24.0,0.0
8358dcfffffffff,1.0,1.0,0.0
836adcfffffffff,2.0,2.0,0.0
837508fffffffff,37.0,36.0,0.0
83750afffffffff,1.0,1.0,0.0
83750dfffffffff,127.0,107.0,0.0
837519fffffffff,1.0,1.0,0.0
83751dfffffffff,2.0,2.0,0.0
837529fffffffff,16.0,15.0,0.0
83752afffffffff,24.0,20.0,0.0
83752bfffffffff,22.0,13.0,0.0
83758cfffffffff,1.0,1.0,0.0
8375a8fffffffff,1.0,1.0,0.0
837b48fffffffff,61.0,0.0,57.0
837b4bfffffffff,10.0,0.0,10.0
838280fffffffff,1.0,0.0,0.0
83828bfffffffff,4.0,0.0,0.0
83828dfffffffff,1.0,0.0,0.0
838295fffffffff,1.0,1.0,0.0
8382a8fffffffff,3.0,3.0,0.0
8382aafffffffff,5.0,5.0,0.0
8382d0fffffffff,7.0,5.0,0.0
8382d1fffffffff,5.0,5.0,0.0
8382d2fffffffff,4.0,2.0,0.0
8396b6fffffffff,1.0,0.0,1.0
