cell_id,Strepera versicolor,Strepera versicolor versicolor/plumbea,Strepera versicolor arguta,Strepera versicolor melanoptera,Strepera versicolor intermedia,Strepera versicolor halmaturina
82b9a7fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
82be0ffffffffff,21.0,4.0,0.0,0.0,0.0,0.0
82be47fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82be4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82be57fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82be67fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
82be6ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82be77fffffffff,19.0,13.0,0.0,0.0,0.0,0.0
82bf4ffffffffff,1.0,0.0,1.0,0.0,0.0,0.0
82c997fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
