cell_id,Rupornis magnirostris,Rupornis magnirostris gracilis,Rupornis magnirostris [magnirostris Group],Rupornis magnirostris [pucherani Group]
8445241ffffffff,7.0,0.0,0.0,0.0
8445243ffffffff,117.0,0.0,0.0,0.0
8445245ffffffff,68.0,0.0,0.0,0.0
8445247ffffffff,125.0,0.0,0.0,0.0
8445249ffffffff,104.0,0.0,0.0,0.0
844524bffffffff,14.0,0.0,0.0,0.0
8445251ffffffff,30.0,0.0,0.0,0.0
8445253ffffffff,57.0,0.0,0.0,0.0
8445255ffffffff,232.0,0.0,0.0,0.0
8445257ffffffff,106.0,0.0,0.0,0.0
844525bffffffff,6.0,0.0,0.0,0.0
844525dffffffff,1.0,0.0,0.0,0.0
8445261ffffffff,4.0,0.0,0.0,0.0
8445263ffffffff,547.0,0.0,0.0,0.0
8445265ffffffff,2.0,0.0,0.0,0.0
8445267ffffffff,13.0,0.0,0.0,0.0
8445269ffffffff,62.0,0.0,0.0,0.0
844526bffffffff,537.0,0.0,0.0,0.0
844526dffffffff,6.0,0.0,0.0,0.0
8445281ffffffff,13.0,0.0,0.0,0.0
8445283ffffffff,65.0,0.0,0.0,0.0
8445285ffffffff,25.0,0.0,0.0,0.0
8445287ffffffff,261.0,0.0,44.0,0.0
8445289ffffffff,472.0,0.0,8.0,0.0
844528bffffffff,2.0,0.0,0.0,0.0
844528dffffffff,141.0,0.0,6.0,0.0
8445291ffffffff,6.0,0.0,0.0,0.0
8445293ffffffff,3.0,0.0,0.0,0.0
8445295ffffffff,6.0,0.0,2.0,0.0
8445297ffffffff,19.0,0.0,0.0,0.0
8445299ffffffff,2.0,0.0,0.0,0.0
844529bffffffff,24.0,0.0,2.0,0.0
84452a1ffffffff,128.0,0.0,11.0,0.0
84452a3ffffffff,103.0,0.0,5.0,0.0
84452a5ffffffff,727.0,0.0,0.0,0.0
84452a7ffffffff,89.0,0.0,22.0,0.0
84452a9ffffffff,935.0,0.0,32.0,0.0
84452abffffffff,91.0,0.0,2.0,0.0
84452adffffffff,3464.0,0.0,197.0,0.0
84452b1ffffffff,1.0,0.0,0.0,0.0
