cell_id,Sicalis luteola,Sicalis luteola [chrysops Group],Sicalis luteola bogotensis,Sicalis luteola [luteola Group]
8445059ffffffff,8.0,0.0,0.0,0.0
844505bffffffff,2.0,0.0,0.0,0.0
8445215ffffffff,2.0,0.0,0.0,0.0
8445217ffffffff,34.0,0.0,0.0,0.0
8445233ffffffff,21.0,0.0,0.0,0.0
844523bffffffff,60.0,0.0,0.0,0.0
84452adffffffff,7.0,0.0,0.0,0.0
84452dbffffffff,4.0,0.0,0.0,0.0
84452e1ffffffff,9.0,0.0,0.0,0.0
84452e3ffffffff,60.0,0.0,0.0,0.0
84452e7ffffffff,2.0,0.0,0.0,0.0
8445749ffffffff,2.0,0.0,0.0,0.0
8449961ffffffff,71.0,45.0,0.0,0.0
845e461ffffffff,8.0,0.0,0.0,0.0
845e463ffffffff,2.0,0.0,0.0,0.0
845e469ffffffff,2.0,0.0,0.0,0.0
845e5d3ffffffff,4.0,0.0,0.0,0.0
845e5ddffffffff,11.0,0.0,0.0,0.0
845e667ffffffff,21.0,0.0,0.0,0.0
845e705ffffffff,66.0,0.0,0.0,0.0
845e717ffffffff,6.0,0.0,0.0,0.0
845e729ffffffff,89.0,0.0,0.0,0.0
845e72bffffffff,152.0,0.0,0.0,0.0
845f083ffffffff,11.0,0.0,0.0,0.0
845f087ffffffff,2.0,0.0,0.0,0.0
845f095ffffffff,2.0,0.0,0.0,0.0
845f291ffffffff,67.0,0.0,0.0,0.0
845f295ffffffff,18.0,0.0,0.0,0.0
845f299ffffffff,75.0,0.0,0.0,0.0
845f29dffffffff,50.0,0.0,0.0,0.0
845f2b1ffffffff,2.0,0.0,0.0,0.0
845f2b3ffffffff,4.0,0.0,0.0,0.0
845f2bbffffffff,8.0,0.0,0.0,0.0
845f2d1ffffffff,1.0,0.0,0.0,0.0
845f2d3ffffffff,2.0,0.0,0.0,0.0
845f2d5ffffffff,2.0,0.0,0.0,0.0
845f403ffffffff,1.0,0.0,0.0,0.0
845f415ffffffff,1.0,0.0,0.0,0.0
845f485ffffffff,1.0,0.0,0.0,0.0
845f4bdffffffff,1.0,0.0,0.0,1.0
845f581ffffffff,5.0,0.0,0.0,0.0
845f583ffffffff,189.0,0.0,0.0,0.0
845f5b9ffffffff,3.0,0.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0,0.0
845f683ffffffff,6.0,0.0,0.0,0.0
845f719ffffffff,1.0,0.0,0.0,0.0
8466007ffffffff,2.0,0.0,0.0,0.0
8466067ffffffff,1.0,0.0,0.0,0.0
8466089ffffffff,2.0,0.0,0.0,0.0
846608dffffffff,3.0,0.0,0.0,0.0
8466099ffffffff,2.0,0.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0,0.0
84660a7ffffffff,1.0,0.0,0.0,0.0
84660b1ffffffff,39.0,0.0,0.0,0.0
84660b5ffffffff,67.0,0.0,2.0,0.0
84660b7ffffffff,6.0,0.0,0.0,0.0
84660b9ffffffff,5.0,0.0,0.0,0.0
84660bbffffffff,273.0,0.0,0.0,0.0
84660bdffffffff,39.0,0.0,0.0,0.0
84660c3ffffffff,3.0,0.0,0.0,0.0
84660d1ffffffff,2.0,0.0,0.0,0.0
84660ddffffffff,8.0,0.0,0.0,0.0
8466119ffffffff,2.0,0.0,0.0,0.0
8466193ffffffff,2.0,0.0,0.0,0.0
84661a5ffffffff,3.0,0.0,0.0,0.0
84661b3ffffffff,1.0,0.0,0.0,0.0
8466299ffffffff,4.0,0.0,0.0,0.0
8466415ffffffff,2.0,0.0,0.0,0.0
8466429ffffffff,1.0,0.0,0.0,0.0
8466505ffffffff,5.0,0.0,0.0,0.0
8466509ffffffff,2.0,0.0,0.0,0.0
846650dffffffff,1.0,0.0,0.0,0.0
8466529ffffffff,34.0,0.0,0.0,0.0
846652dffffffff,7.0,0.0,0.0,0.0
8466541ffffffff,2.0,0.0,0.0,0.0
8466545ffffffff,57.0,0.0,0.0,0.0
8466549ffffffff,6.0,0.0,0.0,0.0
846654bffffffff,14.0,0.0,0.0,0.0
846654dffffffff,3.0,0.0,0.0,0.0
8466561ffffffff,16.0,0.0,0.0,0.0
8466563ffffffff,2.0,0.0,0.0,0.0
8466565ffffffff,58.0,0.0,0.0,0.0
8466567ffffffff,4.0,0.0,0.0,0.0
8466569ffffffff,5.0,0.0,0.0,0.0
846656dffffffff,9.0,0.0,0.0,0.0
8466601ffffffff,2.0,0.0,0.0,0.0
8466639ffffffff,1.0,0.0,0.0,0.0
846663dffffffff,4.0,0.0,0.0,0.0
8466645ffffffff,2.0,0.0,0.0,0.0
8466705ffffffff,9.0,0.0,0.0,0.0
8466707ffffffff,2.0,0.0,0.0,0.0
846670dffffffff,3.0,0.0,0.0,0.0
8466723ffffffff,11.0,0.0,0.0,0.0
8466727ffffffff,23.0,0.0,0.0,0.0
8466735ffffffff,3.0,0.0,0.0,0.0
8466737ffffffff,6.0,0.0,0.0,0.0
846675dffffffff,34.0,0.0,0.0,0.0
8466763ffffffff,1.0,0.0,0.0,0.0
8466a03ffffffff,1.0,0.0,0.0,0.0
8466a0bffffffff,4.0,0.0,0.0,0.0
8466a1dffffffff,40.0,0.0,0.0,0.0
8466c05ffffffff,1.0,0.0,0.0,0.0
8466c25ffffffff,70.0,0.0,2.0,0.0
8466c2dffffffff,6.0,0.0,0.0,0.0
8466c41ffffffff,3.0,0.0,0.0,0.0
8466c47ffffffff,16.0,0.0,0.0,0.0
8466c4bffffffff,1.0,0.0,0.0,0.0
8466c4dffffffff,2.0,0.0,0.0,0.0
8466c63ffffffff,3.0,0.0,0.0,0.0
8466c65ffffffff,3.0,0.0,0.0,0.0
8466c69ffffffff,4.0,0.0,0.0,0.0
8466c6dffffffff,49.0,0.0,0.0,0.0
8466d15ffffffff,7.0,0.0,2.0,0.0
8466d1dffffffff,2.0,0.0,0.0,0.0
8466d31ffffffff,66.0,0.0,6.0,0.0
8466d33ffffffff,110.0,0.0,22.0,0.0
8466d37ffffffff,1.0,0.0,0.0,0.0
8466d3bffffffff,45.0,0.0,2.0,0.0
8466d49ffffffff,1.0,0.0,0.0,0.0
8466d53ffffffff,33.0,0.0,0.0,0.0
8466d6bffffffff,1.0,0.0,0.0,0.0
8466de5ffffffff,33.0,0.0,0.0,0.0
8466dedffffffff,1.0,0.0,0.0,0.0
8466e01ffffffff,2.0,0.0,0.0,0.0
8466e03ffffffff,1.0,0.0,0.0,0.0
8466e09ffffffff,246.0,0.0,14.0,0.0
8466e0bffffffff,15.0,0.0,0.0,0.0
8466e0dffffffff,33.0,0.0,0.0,0.0
8466e15ffffffff,11.0,0.0,0.0,0.0
8466e19ffffffff,6.0,0.0,0.0,0.0
8466e1dffffffff,53.0,0.0,0.0,0.0
8466e23ffffffff,2.0,0.0,0.0,0.0
8466e2dffffffff,2.0,0.0,0.0,0.0
8466e39ffffffff,2.0,0.0,0.0,0.0
8466e41ffffffff,13.0,0.0,2.0,0.0
8466e43ffffffff,751.0,0.0,66.0,0.0
8466e45ffffffff,17.0,0.0,0.0,0.0
8466e47ffffffff,44.0,0.0,0.0,0.0
8466e4bffffffff,13.0,0.0,0.0,0.0
8466e53ffffffff,78.0,0.0,0.0,0.0
8466e55ffffffff,6.0,0.0,0.0,0.0
8466e57ffffffff,55.0,0.0,0.0,0.0
8466e59ffffffff,2.0,0.0,0.0,0.0
8466e5bffffffff,2.0,0.0,0.0,0.0
8466e5dffffffff,1.0,0.0,0.0,0.0
8466e61ffffffff,3.0,0.0,0.0,0.0
8466e63ffffffff,41.0,0.0,0.0,0.0
8466e65ffffffff,37.0,0.0,0.0,0.0
8466e67ffffffff,6.0,0.0,0.0,0.0
8466e69ffffffff,10.0,0.0,0.0,0.0
8466e6bffffffff,6.0,0.0,0.0,0.0
8466e6dffffffff,23.0,0.0,0.0,0.0
8466ec7ffffffff,5.0,0.0,0.0,0.0
8466ee5ffffffff,6.0,0.0,0.0,0.0
8466ee7ffffffff,2.0,0.0,0.0,0.0
8466f11ffffffff,4.0,0.0,0.0,0.0
8466f15ffffffff,2.0,0.0,0.0,0.0
8466f17ffffffff,3.0,0.0,0.0,0.0
8466f19ffffffff,17.0,0.0,0.0,0.0
8466f1dffffffff,20.0,0.0,0.0,0.0
8466f57ffffffff,12.0,0.0,0.0,0.0
8466f5bffffffff,34.0,0.0,0.0,0.0
846742dffffffff,2.0,0.0,0.0,0.0
846743dffffffff,11.0,0.0,0.0,3.0
8467599ffffffff,8.0,0.0,0.0,1.0
84675cbffffffff,1.0,0.0,0.0,0.0
846790dffffffff,2.0,0.0,0.0,0.0
8467945ffffffff,2.0,0.0,0.0,0.0
846794bffffffff,2.0,0.0,0.0,0.0
8467b37ffffffff,2.0,0.0,0.0,0.0
846d251ffffffff,87.0,21.0,0.0,0.0
846d253ffffffff,52.0,5.0,0.0,0.0
846d255ffffffff,10.0,0.0,0.0,0.0
846d257ffffffff,38.0,9.0,0.0,0.0
846d341ffffffff,5.0,2.0,0.0,0.0
846d343ffffffff,5.0,0.0,0.0,0.0
846d34bffffffff,6.0,0.0,0.0,0.0
846d34dffffffff,345.0,39.0,0.0,0.0
846d35bffffffff,214.0,0.0,0.0,0.0
846d657ffffffff,6.0,0.0,0.0,0.0
8480101ffffffff,3.0,0.0,0.0,0.0
8480105ffffffff,2.0,0.0,0.0,0.0
8480141ffffffff,4.0,0.0,0.0,0.0
848014bffffffff,2.0,0.0,0.0,0.0
848016bffffffff,4.0,0.0,0.0,0.0
8480301ffffffff,74.0,0.0,0.0,3.0
8480309ffffffff,23.0,0.0,0.0,0.0
848032bffffffff,2.0,0.0,0.0,0.0
848032dffffffff,2.0,0.0,0.0,0.0
8480359ffffffff,6.0,0.0,0.0,0.0
8481005ffffffff,4.0,0.0,0.0,1.0
848102bffffffff,1.0,0.0,0.0,0.0
8481063ffffffff,69.0,0.0,0.0,13.0
848106bffffffff,8.0,0.0,0.0,0.0
8481133ffffffff,3.0,0.0,0.0,0.0
8481137ffffffff,2.0,0.0,0.0,0.0
8481157ffffffff,1.0,0.0,0.0,1.0
8481163ffffffff,2.0,0.0,0.0,0.0
8481189ffffffff,10.0,0.0,0.0,0.0
84811abffffffff,3.0,0.0,0.0,1.0
84811c9ffffffff,1.0,0.0,0.0,1.0
8481211ffffffff,3.0,0.0,0.0,0.0
8481241ffffffff,1.0,0.0,0.0,0.0
848124dffffffff,3.0,0.0,0.0,0.0
84812c9ffffffff,2.0,0.0,0.0,0.0
84812d7ffffffff,2.0,0.0,0.0,0.0
848130dffffffff,3.0,0.0,0.0,1.0
8481327ffffffff,2.0,0.0,0.0,0.0
8481339ffffffff,57.0,0.0,0.0,6.0
848134dffffffff,1.0,0.0,0.0,0.0
8481819ffffffff,2.0,0.0,0.0,0.0
848181dffffffff,1.0,0.0,0.0,0.0
8481851ffffffff,5.0,0.0,0.0,0.0
8481853ffffffff,3.0,0.0,0.0,0.0
8481855ffffffff,2.0,0.0,0.0,0.0
8481857ffffffff,22.0,0.0,0.0,0.0
848185bffffffff,2.0,0.0,0.0,0.0
8481885ffffffff,9.0,0.0,0.0,0.0
8481889ffffffff,3.0,0.0,0.0,0.0
84818b3ffffffff,2.0,0.0,0.0,0.0
848199bffffffff,4.0,0.0,0.0,0.0
8481ad1ffffffff,3.0,0.0,0.0,0.0
8481ad5ffffffff,1.0,0.0,0.0,0.0
8481ad9ffffffff,2.0,0.0,0.0,0.0
8481addffffffff,2.0,0.0,0.0,0.0
848ad85ffffffff,2.0,0.0,0.0,0.0
848ada3ffffffff,2.0,0.0,0.0,0.0
848ada9ffffffff,5.0,0.0,0.0,0.0
848adabffffffff,10.0,0.0,0.0,1.0
848adb1ffffffff,4.0,0.0,0.0,0.0
848adb9ffffffff,1.0,0.0,0.0,0.0
848ade3ffffffff,4.0,0.0,0.0,0.0
848b08bffffffff,2.0,0.0,0.0,0.0
848b0c1ffffffff,1.0,0.0,0.0,0.0
848b0d1ffffffff,5.0,0.0,0.0,0.0
848b0d5ffffffff,5.0,0.0,0.0,0.0
848b201ffffffff,3.0,0.0,0.0,0.0
848b205ffffffff,2.0,0.0,0.0,0.0
848b211ffffffff,2.0,0.0,0.0,0.0
848b221ffffffff,10.0,0.0,0.0,0.0
848b223ffffffff,2.0,0.0,0.0,0.0
848b229ffffffff,2.0,0.0,0.0,0.0
848b22dffffffff,9.0,0.0,0.0,0.0
848b239ffffffff,2.0,0.0,0.0,0.0
