cell_id,Hypsipetes affinis,Hypsipetes affinis affinis,Hypsipetes affinis flavicaudus
8495419ffffffff,11.0,0.0,0.0
84954d9ffffffff,4.0,0.0,0.0
84956a3ffffffff,4.0,0.0,0.0
84956a5ffffffff,50.0,0.0,0.0
84956abffffffff,9.0,0.0,0.0
84956adffffffff,6.0,0.0,0.0
84956b5ffffffff,4.0,0.0,0.0
84956bdffffffff,234.0,0.0,0.0
