cell_id,Hylophilus flavipes,Hylophilus flavipes viridiflavus/xuthus,Hylophilus flavipes [flavipes Group],Hylophilus flavipes insularis
835f40fffffffff,1.0,0.0,0.0,0.0
835f42fffffffff,1.0,0.0,0.0,0.0
835f43fffffffff,5.0,0.0,0.0,0.0
835f5bfffffffff,21.0,0.0,0.0,9.0
836608fffffffff,4.0,0.0,0.0,0.0
83660dfffffffff,16.0,0.0,0.0,0.0
836611fffffffff,18.0,0.0,0.0,0.0
836616fffffffff,2.0,2.0,0.0,0.0
83661cfffffffff,9.0,0.0,0.0,0.0
83661efffffffff,6.0,0.0,0.0,0.0
836628fffffffff,1.0,0.0,0.0,0.0
836629fffffffff,1.0,0.0,0.0,0.0
83662bfffffffff,20.0,0.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0,0.0
836684fffffffff,1.0,1.0,0.0,0.0
8366a0fffffffff,1.0,0.0,0.0,0.0
8366a1fffffffff,1.0,0.0,0.0,0.0
8366a5fffffffff,7.0,1.0,0.0,0.0
8366b5fffffffff,3.0,1.0,0.0,0.0
8366ecfffffffff,4.0,0.0,0.0,0.0
836741fffffffff,2.0,0.0,2.0,0.0
836742fffffffff,11.0,0.0,0.0,0.0
836743fffffffff,8.0,0.0,2.0,0.0
83674afffffffff,1.0,0.0,1.0,0.0
83674cfffffffff,8.0,0.0,0.0,0.0
836751fffffffff,6.0,0.0,0.0,0.0
836755fffffffff,4.0,0.0,0.0,0.0
836759fffffffff,17.0,0.0,0.0,0.0
83675afffffffff,6.0,0.0,0.0,0.0
83675cfffffffff,5.0,0.0,0.0,0.0
83675dfffffffff,2.0,0.0,0.0,0.0
83678bfffffffff,3.0,0.0,0.0,0.0
