cell_id,Anthus similis,Anthus similis bannermani,Anthus similis captus,Anthus similis arabicus,Anthus similis sokotrae,Anthus similis chyuluensis,Anthus similis [nivescens Group],Anthus similis jerdoni/decaptus,Anthus similis similis/travancoriensis,Anthus similis yamethini
832db0fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832db2fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c1cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833ca8fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833cb1fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
833cf4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d10fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d1efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d30fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
833d32fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d36fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d84fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d85fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d8dfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d91fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d92fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d93fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d96fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d98fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833d9bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
