cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
82148ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
821497fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82149ffffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8214affffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8214d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82158ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82159ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82208ffffffffff,12.0,12.0,0.0,0.0,0.0,0.0,0.0
82209ffffffffff,199.0,199.0,0.0,0.0,0.0,0.0,0.0
82248ffffffffff,108.0,0.0,0.0,0.0,0.0,0.0,0.0
8224c7fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8224d7fffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8224dffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
822e07fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
822e0ffffffffff,126.0,0.0,126.0,0.0,0.0,0.0,0.0
822e17fffffffff,172.0,0.0,172.0,0.0,0.0,0.0,0.0
822e1ffffffffff,220.0,0.0,220.0,0.0,0.0,0.0,0.0
822e2ffffffffff,48.0,0.0,48.0,0.0,0.0,0.0,0.0
822e47fffffffff,17.0,0.0,17.0,0.0,0.0,0.0,0.0
822e67fffffffff,529.0,0.0,528.0,0.0,0.0,0.0,0.0
822e6ffffffffff,671.0,0.0,671.0,0.0,0.0,0.0,0.0
822e77fffffffff,795.0,0.0,795.0,0.0,0.0,0.0,0.0
822e8ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
822eaffffffffff,407.0,0.0,407.0,0.0,0.0,0.0,0.0
822ec7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822ecffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
822ed7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822edffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
822eeffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822ef7fffffffff,18.0,0.0,18.0,0.0,0.0,0.0,0.0
822f47fffffffff,17.0,0.0,17.0,0.0,0.0,0.0,0.0
822f5ffffffffff,1779.0,0.0,1779.0,0.0,0.0,0.0,0.0
823007fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0
823017fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
82301ffffffffff,128.0,0.0,2.0,0.0,0.0,0.0,0.0
823027fffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0
82302ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
823037fffffffff,89.0,0.0,25.0,0.0,0.0,0.0,0.0
823087fffffffff,141.0,0.0,0.0,0.0,0.0,0.0,0.0
823097fffffffff,121.0,0.0,0.0,0.0,0.0,0.0,0.0
82309ffffffffff,1761.0,0.0,7.0,0.0,0.0,0.0,0.0
8230a7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8230affffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8230b7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8230c7fffffffff,572.0,0.0,0.0,0.0,0.0,0.0,0.0
8230cffffffffff,9.0,0.0,4.0,0.0,0.0,0.0,0.0
8230d7fffffffff,116.0,0.0,0.0,0.0,0.0,0.0,0.0
8230dffffffffff,35.0,0.0,35.0,0.0,0.0,0.0,0.0
8230e7fffffffff,2129.0,0.0,3.0,0.0,0.0,0.0,0.0
8230effffffffff,120.0,0.0,0.0,0.0,0.0,0.0,0.0
8230f7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
82310ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823117fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82311ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
823147fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
823157fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82315ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
823167fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82316ffffffffff,187.0,0.0,0.0,0.0,0.0,0.0,0.0
823177fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
823187fffffffff,1202.0,0.0,115.0,0.0,0.0,0.0,0.0
82318ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
823197fffffffff,54.0,0.0,1.0,0.0,0.0,0.0,0.0
82319ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8231a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8231affffffffff,1238.0,0.0,103.0,0.0,0.0,0.0,0.0
8231b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823c07fffffffff,1036.0,1035.0,0.0,0.0,0.0,0.0,0.0
823c0ffffffffff,20.0,1.0,0.0,0.0,0.0,0.0,0.0
823c17fffffffff,320.0,320.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,558.0,558.0,0.0,0.0,0.0,0.0,0.0
823c37fffffffff,433.0,433.0,0.0,0.0,0.0,0.0,0.0
823c47fffffffff,72.0,0.0,0.0,0.0,0.0,0.0,0.0
823c57fffffffff,39.0,27.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,318.0,318.0,0.0,0.0,0.0,0.0,0.0
823c6ffffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0
