cell_id,Myiopagis viridicata,Myiopagis viridicata minima/jaliscensis,Myiopagis viridicata [viridicata Group]
83446cfffffffff,3.0,0.0,0.0
834501fffffffff,6.0,0.0,2.0
834508fffffffff,1.0,0.0,0.0
83450dfffffffff,5.0,0.0,5.0
834525fffffffff,1.0,0.0,0.0
834526fffffffff,1.0,0.0,0.0
834528fffffffff,3.0,0.0,3.0
83452afffffffff,7.0,0.0,4.0
83452efffffffff,11.0,0.0,4.0
834531fffffffff,11.0,0.0,0.0
834533fffffffff,2.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0
83480afffffffff,2.0,2.0,0.0
834833fffffffff,6.0,4.0,0.0
834836fffffffff,7.0,7.0,0.0
834986fffffffff,2.0,0.0,0.0
834988fffffffff,2.0,0.0,0.0
834994fffffffff,1.0,0.0,0.0
834995fffffffff,52.0,15.0,0.0
834996fffffffff,16.0,0.0,4.0
834998fffffffff,4.0,0.0,0.0
8349a8fffffffff,8.0,5.0,0.0
8349a9fffffffff,1.0,1.0,0.0
8349b2fffffffff,1.0,1.0,0.0
8349b3fffffffff,3.0,3.0,0.0
835f4bfffffffff,3.0,0.0,0.0
83660cfffffffff,4.0,0.0,0.0
836611fffffffff,3.0,0.0,0.0
836618fffffffff,1.0,0.0,1.0
83661cfffffffff,3.0,0.0,0.0
836620fffffffff,1.0,0.0,1.0
836621fffffffff,2.0,0.0,0.0
836622fffffffff,1.0,0.0,1.0
8366a0fffffffff,20.0,0.0,0.0
8366a5fffffffff,6.0,0.0,3.0
8366d0fffffffff,16.0,0.0,0.0
8366d3fffffffff,1.0,0.0,1.0
83674efffffffff,1.0,0.0,0.0
836790fffffffff,1.0,0.0,0.0
836d04fffffffff,1.0,0.0,0.0
836d21fffffffff,4.0,0.0,0.0
836d23fffffffff,11.0,0.0,8.0
836d2afffffffff,1.0,0.0,0.0
836d2bfffffffff,3.0,0.0,0.0
836d2cfffffffff,2.0,0.0,0.0
836d30fffffffff,7.0,2.0,5.0
836d31fffffffff,27.0,5.0,18.0
836d32fffffffff,142.0,140.0,0.0
836d33fffffffff,45.0,45.0,0.0
836d60fffffffff,2.0,0.0,0.0
836d66fffffffff,36.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0
836d69fffffffff,8.0,0.0,0.0
836d74fffffffff,4.0,0.0,0.0
838a05fffffffff,1.0,0.0,0.0
838a33fffffffff,2.0,0.0,0.0
838b63fffffffff,2.0,0.0,0.0
838f0dfffffffff,3.0,0.0,0.0
83a824fffffffff,4.0,0.0,0.0
83a942fffffffff,3.0,0.0,0.0
83a94dfffffffff,2.0,0.0,0.0
83a950fffffffff,3.0,0.0,0.0
83a953fffffffff,15.0,0.0,0.0
83a955fffffffff,7.0,0.0,0.0
83a956fffffffff,1.0,0.0,0.0
83a95afffffffff,4.0,0.0,0.0
83a961fffffffff,30.0,0.0,0.0
83a96cfffffffff,10.0,0.0,0.0
83a96efffffffff,19.0,0.0,0.0
83b20efffffffff,1.0,0.0,0.0
83b342fffffffff,3.0,0.0,0.0
83b344fffffffff,10.0,0.0,0.0
83b346fffffffff,5.0,0.0,0.0
83b358fffffffff,20.0,0.0,0.0
83b35cfffffffff,3.0,0.0,1.0
83b35efffffffff,4.0,0.0,0.0
83c2d8fffffffff,5.0,0.0,0.0
83c2d9fffffffff,12.0,0.0,0.0
