cell_id,Amazona oratrix,Amazona oratrix tresmariae,Amazona oratrix [oratrix Group]
821faffffffffff,26.0,0.0,0.0
8229a7fffffffff,83.0,0.0,0.0
822a17fffffffff,2.0,0.0,0.0
824417fffffffff,2.0,0.0,0.0
82441ffffffffff,1.0,0.0,0.0
8244a7fffffffff,2.0,0.0,0.0
8244affffffffff,1.0,0.0,0.0
82450ffffffffff,48.0,0.0,0.0
824527fffffffff,7.0,0.0,0.0
824887fffffffff,9.0,0.0,0.0
8248a7fffffffff,8.0,0.0,0.0
8248b7fffffffff,214.0,0.0,4.0
824997fffffffff,21.0,0.0,0.0
8249b7fffffffff,5.0,0.0,0.0
824ceffffffffff,5.0,0.0,0.0
