cell_id,Pygochelidon cyanoleuca,Pygochelidon cyanoleuca cyanoleuca,Pygochelidon cyanoleuca peruviana,Pygochelidon cyanoleuca patagonica
845f00dffffffff,2.0,0.0,0.0,0.0
845f299ffffffff,2.0,0.0,0.0,0.0
845f483ffffffff,6.0,0.0,0.0,0.0
845f487ffffffff,59.0,0.0,0.0,0.0
845f491ffffffff,6.0,0.0,0.0,0.0
845f4a3ffffffff,2.0,0.0,0.0,0.0
845f4a9ffffffff,1.0,0.0,0.0,0.0
845f4abffffffff,20.0,0.0,0.0,0.0
845f4b9ffffffff,3.0,1.0,0.0,0.0
845f4bdffffffff,11.0,0.0,0.0,0.0
845f4e7ffffffff,6.0,0.0,0.0,0.0
845f68bffffffff,2.0,0.0,0.0,0.0
845f709ffffffff,3.0,0.0,0.0,0.0
845f711ffffffff,112.0,2.0,0.0,0.0
845f713ffffffff,6.0,0.0,0.0,0.0
845f719ffffffff,5.0,0.0,0.0,0.0
845f71bffffffff,2.0,0.0,0.0,0.0
845f755ffffffff,33.0,2.0,0.0,0.0
845f759ffffffff,21.0,0.0,0.0,0.0
845f75dffffffff,4.0,0.0,0.0,0.0
8466005ffffffff,4.0,0.0,0.0,0.0
846601bffffffff,101.0,7.0,0.0,0.0
8466021ffffffff,1.0,0.0,0.0,0.0
8466035ffffffff,4.0,0.0,0.0,0.0
8466045ffffffff,2.0,0.0,0.0,0.0
8466055ffffffff,3.0,0.0,0.0,0.0
8466061ffffffff,6.0,0.0,0.0,0.0
8466067ffffffff,3.0,0.0,0.0,0.0
8466081ffffffff,63.0,0.0,0.0,0.0
8466083ffffffff,30.0,0.0,0.0,0.0
8466087ffffffff,93.0,0.0,0.0,0.0
8466089ffffffff,326.0,4.0,0.0,0.0
846608bffffffff,14.0,0.0,0.0,0.0
846608dffffffff,104.0,5.0,0.0,0.0
8466091ffffffff,6.0,0.0,0.0,0.0
8466093ffffffff,3.0,0.0,0.0,0.0
8466095ffffffff,4.0,0.0,0.0,0.0
8466097ffffffff,1.0,0.0,0.0,0.0
846609bffffffff,2.0,0.0,0.0,0.0
846609dffffffff,8.0,0.0,0.0,0.0
