cell_id,Tangara gyrola,Tangara gyrola [albertinae Group],Tangara gyrola viridissima/toddi,Tangara gyrola gyrola
835f16fffffffff,2.0,0.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0,0.0
835f58fffffffff,9.0,0.0,9.0,0.0
835f5bfffffffff,3.0,0.0,3.0,0.0
836608fffffffff,1.0,0.0,0.0,0.0
83660dfffffffff,3.0,0.0,3.0,0.0
836611fffffffff,2.0,0.0,0.0,0.0
836613fffffffff,15.0,0.0,0.0,0.0
83661bfffffffff,2.0,0.0,0.0,0.0
836620fffffffff,1.0,0.0,1.0,0.0
836621fffffffff,5.0,0.0,5.0,0.0
8366a0fffffffff,19.0,0.0,0.0,0.0
8366a1fffffffff,2.0,0.0,0.0,0.0
8366a3fffffffff,3.0,0.0,0.0,0.0
8366a5fffffffff,9.0,0.0,0.0,0.0
8366b0fffffffff,3.0,3.0,0.0,0.0
8366b4fffffffff,15.0,7.0,0.0,0.0
8366b5fffffffff,18.0,2.0,0.0,0.0
8366d3fffffffff,5.0,5.0,0.0,0.0
8366d5fffffffff,4.0,0.0,0.0,0.0
8366defffffffff,7.0,0.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,16.0,0.0,0.0,0.0
836743fffffffff,2.0,0.0,2.0,0.0
836796fffffffff,2.0,0.0,0.0,0.0
83679afffffffff,1.0,0.0,0.0,0.0
836d69fffffffff,34.0,8.0,0.0,0.0
838a10fffffffff,8.0,0.0,0.0,0.0
838a15fffffffff,1.0,0.0,0.0,0.0
838a1efffffffff,2.0,0.0,0.0,0.0
838a33fffffffff,3.0,0.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0,0.0
838a81fffffffff,10.0,0.0,0.0,0.0
838af6fffffffff,23.0,0.0,0.0,0.0
838b61fffffffff,3.0,3.0,0.0,0.0
838b69fffffffff,4.0,0.0,0.0,0.0
838b6cfffffffff,4.0,0.0,0.0,0.0
838b74fffffffff,2.0,0.0,0.0,0.0
838f0dfffffffff,6.0,2.0,0.0,0.0
838f4bfffffffff,2.0,0.0,0.0,0.0
838f5cfffffffff,1.0,0.0,0.0,0.0
