cell_id,Psittacula longicauda,Psittacula longicauda tytleri,Psittacula longicauda nicobarica,Psittacula longicauda longicauda/defontainei,Psittacula longicauda modesta
83640afffffffff,14.0,14.0,0.0,0.0,0.0
83640bfffffffff,3.0,3.0,0.0,0.0,0.0
836428fffffffff,5.0,2.0,3.0,0.0,0.0
8364e4fffffffff,11.0,11.0,0.0,0.0,0.0
8364e6fffffffff,2.0,0.0,0.0,0.0,0.0
836500fffffffff,11.0,0.0,0.0,0.0,0.0
836501fffffffff,5.0,0.0,0.0,0.0,0.0
836502fffffffff,6.0,0.0,0.0,0.0,0.0
836503fffffffff,101.0,0.0,0.0,2.0,0.0
836504fffffffff,4.0,0.0,0.0,0.0,0.0
836505fffffffff,1.0,0.0,0.0,0.0,0.0
83651dfffffffff,2.0,0.0,0.0,0.0,0.0
836520fffffffff,53.0,0.0,0.0,0.0,0.0
836522fffffffff,2.0,0.0,0.0,0.0,0.0
836523fffffffff,6.0,0.0,0.0,0.0,0.0
836526fffffffff,35.0,0.0,0.0,0.0,0.0
836818fffffffff,21.0,0.0,0.0,0.0,0.0
838cf5fffffffff,2.0,0.0,0.0,0.0,2.0
