cell_id,Amazona autumnalis,Amazona autumnalis autumnalis/salvini,Amazona autumnalis lilacina,Amazona autumnalis diadema
8229a7fffffffff,430.0,0.0,0.0,0.0
824507fffffffff,221.0,15.0,0.0,0.0
82450ffffffffff,284.0,4.0,0.0,0.0
82451ffffffffff,9.0,0.0,0.0,0.0
824527fffffffff,6356.0,138.0,0.0,0.0
82452ffffffffff,19348.0,1447.0,0.0,0.0
824537fffffffff,802.0,0.0,0.0,0.0
824577fffffffff,17.0,0.0,0.0,0.0
8248a7fffffffff,200.0,0.0,0.0,0.0
8248b7fffffffff,1614.0,310.0,0.0,0.0
824987fffffffff,10.0,0.0,0.0,0.0
824997fffffffff,1031.0,107.0,0.0,0.0
82499ffffffffff,488.0,2.0,0.0,0.0
8249affffffffff,262.0,0.0,0.0,0.0
826607fffffffff,27.0,0.0,0.0,0.0
82660ffffffffff,413.0,0.0,0.0,0.0
826617fffffffff,4916.0,371.0,0.0,0.0
82661ffffffffff,597.0,0.0,0.0,0.0
826627fffffffff,15.0,0.0,0.0,0.0
82662ffffffffff,18.0,0.0,0.0,0.0
826687fffffffff,19.0,0.0,0.0,0.0
8266a7fffffffff,12811.0,961.0,0.0,0.0
8266affffffffff,11.0,0.0,0.0,0.0
8266b7fffffffff,8180.0,31.0,0.0,0.0
8266d7fffffffff,285.0,21.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0,0.0
8266f7fffffffff,313.0,0.0,0.0,0.0
826797fffffffff,172.0,0.0,0.0,0.0
82679ffffffffff,3225.0,12.0,0.0,0.0
8267b7fffffffff,3.0,0.0,0.0,0.0
826d07fffffffff,16.0,6.0,0.0,0.0
826d27fffffffff,658.0,68.0,0.0,0.0
826d2ffffffffff,675.0,169.0,0.0,0.0
826d37fffffffff,1171.0,116.0,0.0,0.0
826d67fffffffff,6.0,0.0,0.0,0.0
826d6ffffffffff,20823.0,0.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0,0.0
828af7fffffffff,371.0,0.0,0.0,81.0
828f0ffffffffff,2.0,0.0,0.0,0.0
828f27fffffffff,2.0,0.0,0.0,0.0
828f2ffffffffff,261.0,0.0,75.0,0.0
