cell_id,Melozone leucotis,Melozone leucotis occipitalis,Melozone leucotis leucotis/nigrior
8445343ffffffff,3.0,0.0,0.0
8445355ffffffff,1.0,0.0,0.0
844535dffffffff,2.0,0.0,0.0
8466b4dffffffff,30.0,0.0,0.0
846d05bffffffff,2.0,2.0,0.0
846d291ffffffff,2.0,0.0,0.0
846d297ffffffff,2.0,0.0,0.0
846d2b9ffffffff,7.0,4.0,0.0
846d2e3ffffffff,2.0,0.0,0.0
846d61bffffffff,14.0,0.0,0.0
846d691ffffffff,59.0,0.0,1.0
846d693ffffffff,12.0,0.0,0.0
846d695ffffffff,1.0,0.0,0.0
846d69bffffffff,1.0,0.0,0.0
846d69dffffffff,2.0,0.0,0.0
846d745ffffffff,2.0,0.0,0.0
