cell_id,Luscinia megarhynchos,Luscinia megarhynchos megarhynchos/africana,Luscinia megarhynchos golzii
8309a4fffffffff,2.0,0.0,0.0
831844fffffffff,2.0,0.0,0.0
831845fffffffff,20.0,0.0,0.0
831849fffffffff,311.0,0.0,0.0
83184afffffffff,5.0,0.0,0.0
83184bfffffffff,116.0,0.0,0.0
83184dfffffffff,23.0,0.0,0.0
831859fffffffff,8.0,0.0,0.0
83185bfffffffff,4.0,0.0,0.0
831863fffffffff,7.0,0.0,0.0
831865fffffffff,5.0,0.0,0.0
831868fffffffff,45.0,0.0,0.0
831869fffffffff,14.0,0.0,0.0
83186afffffffff,30.0,0.0,0.0
83186bfffffffff,2.0,0.0,0.0
83186cfffffffff,105.0,0.0,0.0
83186dfffffffff,41.0,0.0,0.0
83186efffffffff,5.0,0.0,0.0
831873fffffffff,3.0,0.0,0.0
831875fffffffff,2.0,0.0,0.0
831941fffffffff,31.0,0.0,0.0
831943fffffffff,71.0,1.0,0.0
831948fffffffff,66.0,0.0,0.0
831949fffffffff,9.0,0.0,0.0
83194afffffffff,180.0,0.0,0.0
83194bfffffffff,18.0,0.0,0.0
83194cfffffffff,202.0,0.0,0.0
83194dfffffffff,38.0,0.0,0.0
83194efffffffff,241.0,0.0,0.0
831958fffffffff,6.0,0.0,0.0
831959fffffffff,4.0,0.0,0.0
83195bfffffffff,1.0,0.0,0.0
83195cfffffffff,1.0,0.0,0.0
83195dfffffffff,20.0,0.0,0.0
831968fffffffff,132.0,0.0,0.0
831969fffffffff,138.0,0.0,0.0
83196bfffffffff,59.0,0.0,0.0
83196cfffffffff,3.0,0.0,0.0
83196dfffffffff,28.0,0.0,0.0
831e00fffffffff,29.0,1.0,0.0
831e01fffffffff,20.0,0.0,0.0
831e02fffffffff,433.0,13.0,0.0
831e03fffffffff,147.0,0.0,0.0
831e04fffffffff,234.0,14.0,0.0
831e05fffffffff,80.0,0.0,0.0
831e06fffffffff,375.0,17.0,0.0
831e08fffffffff,193.0,0.0,0.0
831e0afffffffff,570.0,0.0,0.0
