cell_id,Formicivora serrana,Formicivora serrana serrana/interposita,Formicivora serrana littoralis
838124fffffffff,1.0,1.0,0.0
838134fffffffff,5.0,5.0,0.0
83a880fffffffff,21.0,21.0,0.0
83a881fffffffff,346.0,336.0,0.0
83a882fffffffff,14.0,14.0,0.0
83a883fffffffff,5.0,5.0,0.0
83a884fffffffff,141.0,138.0,0.0
83a885fffffffff,18.0,18.0,0.0
83a886fffffffff,11.0,11.0,0.0
83a88afffffffff,2.0,2.0,0.0
83a88cfffffffff,4.0,4.0,0.0
83a88efffffffff,18.0,18.0,0.0
83a891fffffffff,40.0,40.0,0.0
83a895fffffffff,17.0,17.0,0.0
83a89bfffffffff,1.0,1.0,0.0
83a89dfffffffff,1.0,1.0,0.0
83a8a2fffffffff,9.0,9.0,0.0
83a8a3fffffffff,4.0,4.0,0.0
83a8aafffffffff,11.0,11.0,0.0
