cell_id,Oriolus chlorocephalus,Oriolus chlorocephalus chlorocephalus/amani,Oriolus chlorocephalus speculifer
827b4ffffffffff,2.0,0.0,0.0
827b5ffffffffff,1.0,0.0,0.0
8296b7fffffffff,4.0,0.0,0.0
829717fffffffff,15.0,0.0,5.0
829797fffffffff,2.0,0.0,0.0
8297affffffffff,1.0,1.0,0.0
