cell_id,Ninox boobook,Ninox boobook [boobook Group],Ninox boobook lurida
839450fffffffff,15.0,3.0,0.0
839451fffffffff,2.0,0.0,0.0
8394f6fffffffff,2.0,0.0,0.0
83955afffffffff,2.0,2.0,0.0
839c23fffffffff,11.0,0.0,11.0
83b916fffffffff,2.0,0.0,0.0
83be08fffffffff,18.0,0.0,0.0
83be0afffffffff,2.0,0.0,0.0
83be0cfffffffff,2.0,2.0,0.0
83be18fffffffff,2.0,0.0,0.0
83be1afffffffff,2.0,0.0,0.0
83be45fffffffff,1.0,0.0,0.0
83be62fffffffff,36.0,5.0,0.0
83be63fffffffff,9.0,2.0,0.0
83be6efffffffff,1.0,0.0,0.0
83be72fffffffff,3.0,1.0,0.0
83be74fffffffff,1.0,0.0,0.0
83be76fffffffff,1.0,1.0,0.0
83beeefffffffff,2.0,0.0,0.0
