cell_id,Vireo huttoni,Vireo huttoni [huttoni Group],Vireo huttoni [stephensi Group]
8412d23ffffffff,1.0,0.0,0.0
8412d25ffffffff,2.0,0.0,0.0
8412d27ffffffff,4.0,0.0,0.0
8426dbbffffffff,2.0,0.0,2.0
8428023ffffffff,2.0,1.0,0.0
8428117ffffffff,1.0,0.0,0.0
8428119ffffffff,1.0,0.0,0.0
8428141ffffffff,10.0,0.0,0.0
8428149ffffffff,10.0,0.0,0.0
8428151ffffffff,11.0,0.0,0.0
8428153ffffffff,2.0,0.0,0.0
8428157ffffffff,5.0,0.0,0.0
84281c9ffffffff,5.0,0.0,0.0
84281e9ffffffff,2.0,0.0,0.0
84281edffffffff,2.0,0.0,0.0
8428301ffffffff,21.0,0.0,0.0
8428303ffffffff,29.0,0.0,0.0
8428305ffffffff,62.0,0.0,0.0
8428307ffffffff,150.0,0.0,0.0
8428309ffffffff,62.0,0.0,0.0
842830bffffffff,12.0,0.0,0.0
842830dffffffff,8.0,0.0,0.0
842831dffffffff,3.0,0.0,0.0
8428321ffffffff,25.0,3.0,0.0
8428327ffffffff,7.0,1.0,0.0
8428329ffffffff,11.0,0.0,0.0
842832bffffffff,50.0,0.0,0.0
8428339ffffffff,122.0,0.0,0.0
842833dffffffff,2.0,0.0,0.0
8428341ffffffff,11.0,7.0,0.0
8428345ffffffff,9.0,0.0,0.0
8428347ffffffff,1.0,0.0,0.0
842834dffffffff,10.0,4.0,0.0
8428355ffffffff,25.0,0.0,0.0
8428357ffffffff,11.0,0.0,0.0
8428361ffffffff,19.0,0.0,0.0
8428363ffffffff,279.0,0.0,0.0
8428367ffffffff,193.0,0.0,0.0
8428887ffffffff,2.0,0.0,0.0
84288d1ffffffff,1.0,0.0,0.0
84288d5ffffffff,3.0,0.0,0.0
84288dbffffffff,4.0,0.0,0.0
8428a91ffffffff,15.0,0.0,0.0
8428a93ffffffff,4.0,0.0,0.0
8428a99ffffffff,3.0,0.0,0.0
8428ae1ffffffff,36.0,0.0,0.0
8428ae9ffffffff,6.0,0.0,0.0
8428d03ffffffff,1.0,0.0,0.0
8428d0bffffffff,2.0,2.0,0.0
8428d13ffffffff,2.0,0.0,0.0
8428d1bffffffff,2.0,0.0,0.0
8428d1dffffffff,2.0,0.0,0.0
8428d33ffffffff,7.0,0.0,0.0
8428d35ffffffff,2.0,0.0,0.0
8428d3bffffffff,9.0,0.0,0.0
8428d55ffffffff,12.0,6.0,0.0
8428d59ffffffff,2.0,0.0,0.0
8428d5dffffffff,3.0,0.0,0.0
8428d9dffffffff,2.0,0.0,0.0
8428dadffffffff,2.0,0.0,0.0
8428dc9ffffffff,10.0,6.0,0.0
8428de1ffffffff,3.0,0.0,0.0
8428de3ffffffff,2.0,0.0,0.0
8428de9ffffffff,3.0,0.0,0.0
8428debffffffff,2.0,2.0,0.0
8428f07ffffffff,2.0,0.0,0.0
8428f0dffffffff,3.0,0.0,0.0
8428f21ffffffff,16.0,0.0,0.0
8428f29ffffffff,12.0,0.0,0.0
8428f67ffffffff,3.0,0.0,0.0
8429121ffffffff,15.0,9.0,0.0
8429127ffffffff,1.0,1.0,0.0
842913dffffffff,6.0,0.0,0.0
8429167ffffffff,3.0,0.0,0.0
84291a7ffffffff,1.0,1.0,0.0
8429891ffffffff,6.0,0.0,0.0
8429941ffffffff,1.0,0.0,0.0
842994dffffffff,3.0,0.0,0.0
8429a01ffffffff,14.0,0.0,0.0
8429a05ffffffff,9.0,0.0,0.0
8429a09ffffffff,32.0,4.0,0.0
8429a0bffffffff,6.0,2.0,0.0
8429a0dffffffff,15.0,0.0,0.0
8429a17ffffffff,1.0,0.0,0.0
8429a19ffffffff,2.0,0.0,0.0
8429a1dffffffff,2.0,2.0,0.0
8429a3bffffffff,1.0,0.0,0.0
8429a41ffffffff,9.0,0.0,0.0
8429a47ffffffff,8.0,2.0,0.0
8429a4dffffffff,4.0,0.0,0.0
8429a51ffffffff,1.0,1.0,0.0
8429a55ffffffff,3.0,0.0,0.0
8429a57ffffffff,14.0,0.0,0.0
8429a59ffffffff,7.0,0.0,0.0
8429a63ffffffff,12.0,0.0,0.0
8429a69ffffffff,5.0,0.0,0.0
8429a6dffffffff,2.0,0.0,0.0
8429a8bffffffff,2.0,0.0,0.0
8429a93ffffffff,5.0,0.0,0.0
8429a97ffffffff,1.0,0.0,0.0
8429a9bffffffff,2.0,0.0,0.0
8429ac3ffffffff,3.0,0.0,0.0
8429ac5ffffffff,3.0,0.0,0.0
8429acdffffffff,6.0,0.0,0.0
8429ad1ffffffff,3.0,0.0,0.0
8429addffffffff,7.0,0.0,0.0
8429ae1ffffffff,33.0,2.0,0.0
8429aedffffffff,4.0,0.0,0.0
8429b03ffffffff,24.0,0.0,4.0
8429b09ffffffff,4.0,0.0,0.0
8429b0bffffffff,6.0,0.0,0.0
8429b25ffffffff,2.0,0.0,0.0
8429b61ffffffff,31.0,0.0,0.0
8429b65ffffffff,117.0,0.0,0.0
8429b67ffffffff,6.0,0.0,0.0
8429b6bffffffff,134.0,0.0,3.0
8429b6dffffffff,16.0,0.0,0.0
844814bffffffff,1.0,0.0,1.0
84482e5ffffffff,7.0,0.0,0.0
8448337ffffffff,11.0,0.0,4.0
84485b5ffffffff,2.0,0.0,0.0
84485b7ffffffff,2.0,0.0,0.0
84485d3ffffffff,1.0,0.0,0.0
8448825ffffffff,1.0,0.0,0.0
8448837ffffffff,3.0,0.0,0.0
84488a1ffffffff,7.0,0.0,0.0
84488a3ffffffff,2.0,0.0,0.0
84488a5ffffffff,4.0,0.0,0.0
84488a9ffffffff,3.0,0.0,0.0
84488adffffffff,4.0,0.0,0.0
84488e1ffffffff,4.0,0.0,0.0
84488e5ffffffff,3.0,0.0,0.0
84488e9ffffffff,3.0,0.0,0.0
84488ebffffffff,1.0,0.0,0.0
84488edffffffff,4.0,0.0,0.0
8448981ffffffff,7.0,0.0,0.0
8448983ffffffff,3.0,0.0,0.0
8448985ffffffff,27.0,0.0,0.0
844898dffffffff,50.0,0.0,4.0
8448999ffffffff,2.0,0.0,0.0
84489a3ffffffff,2.0,0.0,0.0
84489abffffffff,11.0,0.0,0.0
84489bdffffffff,2.0,0.0,0.0
84489c1ffffffff,17.0,0.0,0.0
84489c3ffffffff,25.0,0.0,0.0
84489c5ffffffff,61.0,0.0,0.0
84489c7ffffffff,10.0,0.0,0.0
84489cbffffffff,3.0,0.0,0.0
84489d1ffffffff,8.0,0.0,0.0
84489d3ffffffff,4.0,0.0,0.0
84489d9ffffffff,7.0,0.0,0.0
84489e3ffffffff,29.0,0.0,2.0
84489e9ffffffff,2.0,0.0,0.0
84489ebffffffff,14.0,0.0,0.0
8448a29ffffffff,1.0,0.0,1.0
8448ab7ffffffff,13.0,0.0,5.0
8448c19ffffffff,1.0,0.0,0.0
8448c1bffffffff,7.0,0.0,5.0
8448c35ffffffff,13.0,0.0,0.0
8448c59ffffffff,3.0,0.0,3.0
8448c5bffffffff,1.0,0.0,0.0
8448c99ffffffff,3.0,0.0,0.0
8448cc1ffffffff,6.0,0.0,0.0
8448cd3ffffffff,16.0,0.0,1.0
8448cd9ffffffff,251.0,0.0,12.0
8448cdbffffffff,13.0,0.0,7.0
8448d33ffffffff,2.0,0.0,0.0
8448d4bffffffff,12.0,0.0,0.0
8448d53ffffffff,2.0,0.0,0.0
8448d5dffffffff,1.0,0.0,0.0
8448e37ffffffff,8.0,0.0,6.0
8448e81ffffffff,50.0,0.0,3.0
8448e85ffffffff,440.0,0.0,193.0
8448e8dffffffff,138.0,0.0,87.0
8448e97ffffffff,16.0,0.0,0.0
8448eadffffffff,6.0,0.0,0.0
8448eb1ffffffff,25.0,0.0,0.0
8448eb3ffffffff,259.0,0.0,5.0
8448eb5ffffffff,5.0,0.0,0.0
8448eb7ffffffff,2.0,0.0,0.0
8448ebbffffffff,26.0,0.0,1.0
8448ec7ffffffff,80.0,0.0,74.0
8448ed3ffffffff,6.0,0.0,0.0
8448ee1ffffffff,2.0,0.0,2.0
8448ee3ffffffff,79.0,0.0,2.0
8448ee9ffffffff,14.0,0.0,6.0
8448eebffffffff,62.0,0.0,31.0
8448f21ffffffff,1.0,0.0,1.0
8448f2dffffffff,4.0,0.0,4.0
8449823ffffffff,4.0,0.0,0.0
8449829ffffffff,3.0,0.0,3.0
844982bffffffff,2.0,0.0,2.0
8449861ffffffff,2.0,0.0,2.0
844990bffffffff,3.0,0.0,1.0
8449943ffffffff,2.0,0.0,0.0
8449959ffffffff,7.0,0.0,7.0
8449963ffffffff,3.0,0.0,0.0
844996bffffffff,1.0,0.0,0.0
8449987ffffffff,2.0,0.0,2.0
84499c5ffffffff,2.0,0.0,2.0
84499cdffffffff,1.0,0.0,0.0
8449a85ffffffff,2.0,0.0,2.0
8449b19ffffffff,12.0,0.0,12.0
8449b1dffffffff,9.0,0.0,9.0
846d23bffffffff,11.0,0.0,2.0
846d283ffffffff,1.0,0.0,0.0
846d297ffffffff,1.0,0.0,0.0
846d29bffffffff,2.0,0.0,0.0
846d32bffffffff,7.0,0.0,0.0
846d337ffffffff,4.0,0.0,1.0
846d36dffffffff,5.0,0.0,2.0
