cell_id,Chalcites minutillus,Chalcites minutillus [minutillus Group],Chalcites minutillus [poecilurus Group],Chalcites minutillus rufomerus/salvadorii
8465015ffffffff,4.0,0.0,0.0,0.0
8465033ffffffff,4.0,0.0,0.0,0.0
8465057ffffffff,1.0,0.0,0.0,0.0
8465059ffffffff,1.0,0.0,0.0,0.0
84650e5ffffffff,1.0,0.0,0.0,0.0
8465189ffffffff,2.0,0.0,0.0,0.0
846518bffffffff,10.0,0.0,0.0,0.0
846519dffffffff,6.0,0.0,0.0,0.0
84651c3ffffffff,3.0,0.0,0.0,0.0
84651d1ffffffff,24.0,0.0,0.0,0.0
84651d7ffffffff,1.0,0.0,0.0,0.0
84651d9ffffffff,20.0,0.0,0.0,0.0
84651dbffffffff,6.0,0.0,0.0,0.0
846520dffffffff,22.0,0.0,0.0,0.0
8465231ffffffff,3.0,0.0,0.0,0.0
8465263ffffffff,9.0,0.0,0.0,0.0
846526bffffffff,6.0,0.0,0.0,0.0
8465859ffffffff,1.0,0.0,0.0,0.0
8468119ffffffff,6.0,0.0,0.0,0.0
846811bffffffff,2.0,0.0,0.0,0.0
846818dffffffff,4.0,0.0,0.0,0.0
8468285ffffffff,4.0,0.0,0.0,0.0
846846bffffffff,2.0,0.0,0.0,0.0
8494511ffffffff,1.0,0.0,0.0,0.0
8494803ffffffff,2.0,2.0,0.0,0.0
8494ed3ffffffff,2.0,2.0,0.0,0.0
84956d3ffffffff,5.0,0.0,0.0,0.0
849c05dffffffff,1.0,0.0,0.0,0.0
849c0e9ffffffff,1.0,1.0,0.0,0.0
849c231ffffffff,2.0,0.0,2.0,0.0
849c237ffffffff,5.0,1.0,2.0,0.0
849c23bffffffff,2.0,2.0,0.0,0.0
849cd31ffffffff,4.0,0.0,0.0,0.0
84be89bffffffff,3.0,0.0,0.0,0.0
84be8d1ffffffff,4.0,0.0,0.0,0.0
84beabbffffffff,3.0,0.0,0.0,0.0
84bef01ffffffff,5.0,0.0,0.0,0.0
84bef25ffffffff,2.0,0.0,0.0,0.0
84bef6dffffffff,2.0,0.0,0.0,0.0
