cell_id,Laterallus albigularis,Laterallus albigularis albigularis/cerdaleus,Laterallus albigularis cinereiceps
8445321ffffffff,6.0,0.0,0.0
8445363ffffffff,17.0,0.0,0.0
8445365ffffffff,5.0,0.0,0.0
8445367ffffffff,5.0,0.0,0.0
84661b3ffffffff,1.0,0.0,0.0
846620bffffffff,4.0,0.0,0.0
84662cdffffffff,6.0,0.0,0.0
8466a0bffffffff,2.0,0.0,0.0
8466a57ffffffff,4.0,0.0,0.0
8466b09ffffffff,5.0,5.0,0.0
8466b0bffffffff,13.0,13.0,0.0
8466b49ffffffff,2.0,0.0,2.0
8466b4dffffffff,11.0,0.0,5.0
8466b51ffffffff,4.0,0.0,0.0
8466b55ffffffff,4.0,4.0,0.0
8466b57ffffffff,6.0,3.0,0.0
8466d57ffffffff,5.0,0.0,0.0
8466f11ffffffff,2.0,0.0,0.0
8466f1dffffffff,19.0,0.0,0.0
8466f5bffffffff,9.0,0.0,0.0
8467933ffffffff,2.0,0.0,0.0
8467965ffffffff,1.0,0.0,0.0
84679a5ffffffff,18.0,0.0,18.0
846d651ffffffff,2.0,0.0,0.0
846d689ffffffff,2.0,0.0,0.0
846d68bffffffff,2.0,0.0,2.0
846d691ffffffff,10.0,0.0,8.0
846d693ffffffff,2.0,2.0,0.0
846d697ffffffff,3.0,3.0,0.0
846d699ffffffff,4.0,0.0,4.0
846d69dffffffff,35.0,0.0,35.0
846d6d5ffffffff,12.0,0.0,6.0
848f2a9ffffffff,1.0,0.0,0.0
