cell_id,Hafferia immaculata,Hafferia immaculata immaculata,Hafferia immaculata concepcion
846608dffffffff,24.0,0.0,0.0
84660a7ffffffff,3.0,0.0,0.0
84660c7ffffffff,7.0,0.0,0.0
84660ddffffffff,10.0,0.0,0.0
8466189ffffffff,1.0,0.0,0.0
8466191ffffffff,34.0,0.0,0.0
8466193ffffffff,16.0,0.0,0.0
8466195ffffffff,3.0,0.0,0.0
8466197ffffffff,2.0,0.0,0.0
8466199ffffffff,10.0,0.0,0.0
846619bffffffff,30.0,0.0,0.0
84661b3ffffffff,19.0,0.0,0.0
84661b9ffffffff,32.0,0.0,0.0
84661bdffffffff,3.0,0.0,0.0
84661c3ffffffff,16.0,2.0,0.0
84661d1ffffffff,70.0,0.0,0.0
84661d5ffffffff,3.0,0.0,0.0
84661d7ffffffff,1.0,0.0,0.0
84661ddffffffff,24.0,0.0,0.0
8466213ffffffff,8.0,0.0,0.0
8466299ffffffff,2.0,0.0,0.0
846629bffffffff,1.0,0.0,0.0
84662b7ffffffff,13.0,9.0,0.0
84662d3ffffffff,34.0,0.0,0.0
84662e1ffffffff,3.0,0.0,0.0
84662e9ffffffff,17.0,0.0,0.0
8466d0bffffffff,6.0,0.0,0.0
8466e07ffffffff,5.0,0.0,0.0
8466e0dffffffff,44.0,0.0,0.0
8466e41ffffffff,140.0,0.0,0.0
8466e45ffffffff,9.0,0.0,0.0
8466e47ffffffff,11.0,0.0,0.0
8466e49ffffffff,6.0,0.0,0.0
8466e63ffffffff,14.0,0.0,0.0
8466e65ffffffff,40.0,0.0,0.0
8466e67ffffffff,38.0,0.0,0.0
8466e69ffffffff,15.0,0.0,0.0
8466e6bffffffff,2.0,0.0,0.0
8466e6dffffffff,992.0,41.0,0.0
8466f15ffffffff,64.0,2.0,0.0
8466f1dffffffff,39.0,0.0,0.0
8466f53ffffffff,31.0,1.0,0.0
8466f57ffffffff,4.0,0.0,0.0
8466f5bffffffff,14.0,0.0,0.0
84675a5ffffffff,8.0,0.0,0.0
84675e3ffffffff,1.0,0.0,0.0
84675ebffffffff,20.0,0.0,0.0
