cell_id,Phoenicurus ochruros,Phoenicurus ochruros gibraltariensis/aterrimus,Phoenicurus ochruros [ochruros Group]
820887fffffffff,10.0,0.0,0.0
82088ffffffffff,6.0,0.0,0.0
820897fffffffff,12.0,0.0,0.0
82089ffffffffff,106.0,0.0,0.0
8208a7fffffffff,1.0,0.0,0.0
8208b7fffffffff,2.0,0.0,0.0
8208cffffffffff,4.0,0.0,0.0
820987fffffffff,7.0,0.0,0.0
82098ffffffffff,4.0,0.0,0.0
820997fffffffff,26.0,0.0,0.0
82099ffffffffff,4.0,0.0,0.0
8209a7fffffffff,25.0,0.0,0.0
8209affffffffff,4.0,0.0,0.0
8210c7fffffffff,2.0,0.0,0.0
8210d7fffffffff,1.0,0.0,0.0
8210dffffffffff,1.0,0.0,0.0
8210f7fffffffff,1.0,0.0,0.0
821107fffffffff,7.0,0.0,0.0
821117fffffffff,15.0,0.0,0.0
821127fffffffff,5.0,0.0,0.0
82112ffffffffff,2.0,0.0,0.0
821137fffffffff,11.0,0.0,0.0
821187fffffffff,31.0,1.0,2.0
82118ffffffffff,91.0,2.0,0.0
82119ffffffffff,14.0,0.0,0.0
8211a7fffffffff,2.0,0.0,0.0
8211affffffffff,35.0,18.0,0.0
8211b7fffffffff,3.0,0.0,0.0
82182ffffffffff,1.0,1.0,0.0
821847fffffffff,132.0,0.0,0.0
82184ffffffffff,6341.0,70.0,0.0
82185ffffffffff,2684.0,0.0,0.0
821867fffffffff,90.0,6.0,0.0
82186ffffffffff,364.0,39.0,0.0
821877fffffffff,201.0,22.0,0.0
82190ffffffffff,1.0,0.0,0.0
82192ffffffffff,8.0,0.0,0.0
821947fffffffff,152.0,20.0,0.0
82194ffffffffff,605.0,112.0,0.0
821957fffffffff,19.0,0.0,0.0
82195ffffffffff,86.0,6.0,0.0
82196ffffffffff,175.0,0.0,0.0
821977fffffffff,39.0,2.0,0.0
821e07fffffffff,2443.0,145.0,0.0
821e0ffffffffff,1448.0,42.0,0.0
821e17fffffffff,1082.0,30.0,0.0
821e1ffffffffff,859.0,37.0,0.0
821e27fffffffff,955.0,11.0,0.0
821e2ffffffffff,464.0,0.0,0.0
821e37fffffffff,2580.0,63.0,0.0
821e47fffffffff,20.0,0.0,0.0
821e4ffffffffff,16.0,0.0,0.0
821e57fffffffff,117.0,0.0,0.0
821e5ffffffffff,59.0,0.0,0.0
821e67fffffffff,90.0,0.0,0.0
821e6ffffffffff,76.0,0.0,0.0
821e77fffffffff,37.0,0.0,0.0
821e87fffffffff,511.0,0.0,0.0
821e8ffffffffff,13.0,0.0,0.0
821e97fffffffff,18.0,0.0,0.0
821e9ffffffffff,95.0,0.0,0.0
821ea7fffffffff,252.0,0.0,0.0
821eaffffffffff,180.0,11.0,0.0
821eb7fffffffff,265.0,2.0,0.0
821ec7fffffffff,1219.0,153.0,0.0
821ecffffffffff,798.0,26.0,0.0
821ed7fffffffff,394.0,6.0,0.0
821edffffffffff,843.0,30.0,0.0
821ee7fffffffff,180.0,0.0,0.0
821eeffffffffff,170.0,13.0,0.0
821ef7fffffffff,219.0,9.0,0.0
821f07fffffffff,254.0,49.0,0.0
821f0ffffffffff,126.0,4.0,0.0
821f17fffffffff,611.0,7.0,0.0
821f1ffffffffff,660.0,42.0,0.0
821f27fffffffff,20.0,0.0,0.0
821f2ffffffffff,296.0,208.0,0.0
821f37fffffffff,198.0,15.0,0.0
821f47fffffffff,64.0,2.0,0.0
821f4ffffffffff,69.0,0.0,0.0
821f57fffffffff,161.0,8.0,0.0
821f5ffffffffff,214.0,11.0,0.0
821f67fffffffff,22.0,2.0,0.0
821f6ffffffffff,20.0,0.0,0.0
821f77fffffffff,570.0,13.0,0.0
821f87fffffffff,2148.0,315.0,0.0
821f8ffffffffff,1959.0,412.0,0.0
821f97fffffffff,639.0,173.0,0.0
821f9ffffffffff,1729.0,148.0,0.0
821fa7fffffffff,493.0,6.0,0.0
821faffffffffff,1568.0,22.0,0.0
821fb7fffffffff,275.0,8.0,0.0
82200ffffffffff,7.0,0.0,0.0
822017fffffffff,12.0,0.0,0.0
82201ffffffffff,10.0,0.0,0.0
82204ffffffffff,26.0,0.0,5.0
82205ffffffffff,11.0,0.0,0.0
82206ffffffffff,7.0,0.0,7.0
822087fffffffff,25.0,0.0,0.0
82208ffffffffff,12.0,0.0,0.0
82209ffffffffff,49.0,0.0,0.0
8220a7fffffffff,10.0,0.0,2.0
8220affffffffff,3.0,0.0,0.0
8220c7fffffffff,7.0,0.0,0.0
8220e7fffffffff,26.0,0.0,4.0
8220f7fffffffff,18.0,0.0,0.0
822127fffffffff,3.0,0.0,0.0
822157fffffffff,6.0,0.0,0.0
822187fffffffff,1.0,0.0,0.0
82218ffffffffff,2.0,0.0,0.0
82219ffffffffff,7.0,0.0,0.0
822407fffffffff,18.0,0.0,0.0
82240ffffffffff,36.0,0.0,0.0
82241ffffffffff,1.0,0.0,0.0
822427fffffffff,24.0,0.0,0.0
822477fffffffff,5.0,0.0,0.0
822487fffffffff,30.0,0.0,4.0
82248ffffffffff,245.0,0.0,41.0
822497fffffffff,8.0,0.0,2.0
82249ffffffffff,93.0,0.0,6.0
8224b7fffffffff,2.0,0.0,2.0
8224c7fffffffff,3.0,0.0,0.0
8224d7fffffffff,42.0,0.0,2.0
8224dffffffffff,2.0,0.0,0.0
822507fffffffff,8.0,0.0,0.0
822517fffffffff,213.0,0.0,0.0
82251ffffffffff,2.0,0.0,0.0
822557fffffffff,2.0,0.0,0.0
822587fffffffff,2.0,0.0,0.0
8225a7fffffffff,2.0,0.0,0.0
8225affffffffff,24.0,0.0,0.0
8225b7fffffffff,1.0,0.0,0.0
822c07fffffffff,372.0,0.0,34.0
822c0ffffffffff,194.0,0.0,1.0
822c17fffffffff,42.0,0.0,8.0
822c1ffffffffff,67.0,0.0,0.0
822c27fffffffff,193.0,0.0,7.0
822c2ffffffffff,827.0,0.0,202.0
822c37fffffffff,84.0,0.0,0.0
822c77fffffffff,32.0,0.0,0.0
822c87fffffffff,29.0,0.0,0.0
822c8ffffffffff,63.0,0.0,3.0
822c97fffffffff,229.0,25.0,89.0
822c9ffffffffff,13.0,0.0,0.0
822ca7fffffffff,26.0,0.0,0.0
822caffffffffff,33.0,0.0,0.0
822cc7fffffffff,139.0,0.0,5.0
822ccffffffffff,10.0,0.0,0.0
822cd7fffffffff,53.0,0.0,0.0
822cdffffffffff,3.0,0.0,0.0
822ce7fffffffff,48.0,0.0,0.0
822cf7fffffffff,283.0,0.0,3.0
822d07fffffffff,231.0,0.0,0.0
822d17fffffffff,351.0,2.0,40.0
822d1ffffffffff,52.0,0.0,0.0
822d27fffffffff,44.0,0.0,0.0
822d37fffffffff,368.0,0.0,8.0
822d4ffffffffff,1.0,0.0,0.0
822d57fffffffff,33.0,0.0,0.0
822d5ffffffffff,15.0,0.0,0.0
822d67fffffffff,779.0,0.0,0.0
822d77fffffffff,15.0,0.0,0.0
822d87fffffffff,17.0,0.0,0.0
822d97fffffffff,10.0,0.0,0.0
822da7fffffffff,524.0,0.0,0.0
822daffffffffff,221.0,0.0,2.0
822db7fffffffff,2763.0,134.0,131.0
82346ffffffffff,30.0,0.0,0.0
823817fffffffff,58.0,2.0,0.0
823827fffffffff,1575.0,254.0,0.0
823837fffffffff,76.0,1.0,0.0
823847fffffffff,1.0,0.0,0.0
82384ffffffffff,7.0,0.0,0.0
82385ffffffffff,1.0,1.0,0.0
823867fffffffff,21.0,1.0,0.0
82386ffffffffff,29.0,0.0,0.0
823877fffffffff,13.0,4.0,0.0
823907fffffffff,12727.0,17.0,0.0
82390ffffffffff,5581.0,44.0,0.0
823917fffffffff,7543.0,52.0,0.0
82391ffffffffff,7638.0,109.0,0.0
823927fffffffff,11157.0,21.0,0.0
82392ffffffffff,13845.0,107.0,0.0
823937fffffffff,6893.0,49.0,0.0
823947fffffffff,3642.0,47.0,0.0
82394ffffffffff,2.0,0.0,0.0
823957fffffffff,2957.0,30.0,0.0
82395ffffffffff,341.0,0.0,0.0
823967fffffffff,1795.0,65.0,0.0
82396ffffffffff,1096.0,60.0,0.0
823977fffffffff,7777.0,120.0,0.0
823987fffffffff,468.0,56.0,0.0
82398ffffffffff,286.0,31.0,0.0
823997fffffffff,48.0,2.0,0.0
82399ffffffffff,8.0,1.0,0.0
8239affffffffff,87.0,9.0,0.0
823c07fffffffff,67.0,0.0,0.0
823c0ffffffffff,160.0,0.0,0.0
823c17fffffffff,83.0,0.0,0.0
823c1ffffffffff,293.0,0.0,0.0
823c37fffffffff,93.0,0.0,0.0
823c47fffffffff,8.0,0.0,0.0
823c4ffffffffff,1.0,0.0,0.0
823c57fffffffff,77.0,0.0,0.0
823c5ffffffffff,148.0,0.0,3.0
823c67fffffffff,6.0,0.0,0.0
823c6ffffffffff,129.0,0.0,10.0
823c77fffffffff,18.0,0.0,0.0
823c87fffffffff,32.0,0.0,0.0
823c8ffffffffff,70.0,0.0,0.0
823c97fffffffff,131.0,0.0,0.0
823c9ffffffffff,10.0,0.0,0.0
823ca7fffffffff,167.0,0.0,0.0
823caffffffffff,129.0,0.0,0.0
823cb7fffffffff,1196.0,0.0,0.0
823cc7fffffffff,20.0,0.0,0.0
823cd7fffffffff,10.0,0.0,0.0
823cdffffffffff,8.0,0.0,2.0
823ce7fffffffff,154.0,0.0,0.0
823ceffffffffff,127.0,0.0,0.0
823cf7fffffffff,109.0,0.0,0.0
823d07fffffffff,1876.0,0.0,0.0
823d17fffffffff,1023.0,0.0,0.0
823d1ffffffffff,29.0,0.0,0.0
823d27fffffffff,554.0,0.0,0.0
823d37fffffffff,485.0,0.0,0.0
823d4ffffffffff,2.0,0.0,2.0
823d87fffffffff,1553.0,0.0,0.0
823d8ffffffffff,628.0,0.0,0.0
823d97fffffffff,543.0,0.0,0.0
823d9ffffffffff,2042.0,0.0,0.0
823da7fffffffff,3699.0,0.0,0.0
823daffffffffff,453.0,0.0,0.0
823db7fffffffff,537.0,0.0,0.0
823e47fffffffff,10.0,0.0,0.0
823e4ffffffffff,2.0,0.0,0.0
823e6ffffffffff,535.0,44.0,0.0
823f0ffffffffff,2.0,0.0,0.0
823f27fffffffff,5.0,0.0,0.0
823f2ffffffffff,279.0,8.0,0.0
823f37fffffffff,315.0,0.0,0.0
823f47fffffffff,47.0,9.0,0.0
823f4ffffffffff,40.0,2.0,0.0
823f67fffffffff,542.0,9.0,0.0
823f6ffffffffff,293.0,4.0,0.0
823f77fffffffff,172.0,10.0,0.0
824047fffffffff,4.0,0.0,0.0
82404ffffffffff,7.0,0.0,0.0
82405ffffffffff,8.0,0.0,0.0
82408ffffffffff,12.0,0.0,0.0
