cell_id,Cinclodes antarcticus,Cinclodes antarcticus maculirostris,Cinclodes antarcticus antarcticus
82cf37fffffffff,11.0,0.0,0.0
82de67fffffffff,5.0,0.0,1.0
82de77fffffffff,6.0,0.0,0.0
82df47fffffffff,52.0,5.0,0.0
82df67fffffffff,4.0,0.0,0.0
