cell_id,Falco columbarius,Falco columbarius [aesalon Group],Falco columbarius pallidus,Falco columbarius columbarius,Falco columbarius richardsonii,Falco columbarius suckleyi
8401261ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8401265ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840126dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840130bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8401319ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8401343ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840134bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8401351ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8401353ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8401355ffffffff,12.0,2.0,0.0,0.0,0.0,0.0
8401357ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8401359ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840135bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840740bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8407411ffffffff,42.0,5.0,0.0,0.0,0.0,0.0
8407415ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8407417ffffffff,49.0,2.0,0.0,0.0,0.0,0.0
8407419ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
840741dffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8407421ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8407425ffffffff,10.0,2.0,0.0,0.0,0.0,0.0
8407427ffffffff,8.0,2.0,0.0,0.0,0.0,0.0
840742dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8407431ffffffff,40.0,6.0,0.0,0.0,0.0,0.0
8407433ffffffff,66.0,2.0,0.0,0.0,0.0,0.0
8407435ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8407437ffffffff,44.0,3.0,0.0,0.0,0.0,0.0
8407439ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
840743bffffffff,20.0,0.0,0.0,0.0,0.0,0.0
840744bffffffff,12.0,3.0,0.0,0.0,0.0,0.0
840744dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8407451ffffffff,12.0,1.0,0.0,0.0,0.0,0.0
8407455ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
