cell_id,Pterodroma brevipes,Pterodroma brevipes brevipes,Pterodroma brevipes magnificens
8388e3fffffffff,1.0,0.0,0.0
839a26fffffffff,1.0,0.0,0.0
839a31fffffffff,1.0,0.0,0.0
839b0cfffffffff,1.0,0.0,0.0
839b43fffffffff,3.0,0.0,0.0
839b45fffffffff,2.0,0.0,0.0
839b4dfffffffff,1.0,0.0,0.0
839b4efffffffff,1.0,0.0,0.0
839b50fffffffff,1.0,0.0,0.0
839b55fffffffff,1.0,0.0,0.0
839b5cfffffffff,2.0,0.0,0.0
839b6efffffffff,1.0,0.0,0.0
839b73fffffffff,1.0,0.0,0.0
839e04fffffffff,1.0,0.0,0.0
839e05fffffffff,3.0,0.0,3.0
839e11fffffffff,1.0,0.0,0.0
839e13fffffffff,1.0,0.0,0.0
839e1cfffffffff,1.0,0.0,1.0
839e1efffffffff,2.0,0.0,2.0
839e21fffffffff,1.0,1.0,0.0
839e22fffffffff,1.0,0.0,0.0
839e24fffffffff,6.0,0.0,1.0
839e25fffffffff,1.0,0.0,0.0
839e33fffffffff,1.0,0.0,1.0
839e56fffffffff,1.0,0.0,0.0
839e74fffffffff,1.0,1.0,0.0
839f09fffffffff,1.0,0.0,0.0
839f0afffffffff,1.0,0.0,0.0
839f11fffffffff,1.0,0.0,0.0
839f1afffffffff,1.0,0.0,0.0
839f51fffffffff,1.0,1.0,0.0
839f55fffffffff,3.0,1.0,0.0
839f5afffffffff,1.0,0.0,0.0
839f70fffffffff,1.0,0.0,0.0
839f72fffffffff,1.0,0.0,0.0
839f75fffffffff,1.0,0.0,0.0
