cell_id,Pomatorhinus phayrei,Pomatorhinus phayrei phayrei/stanfordi,Pomatorhinus phayrei [albogularis Group]
823c5ffffffffff,39.0,1.0,0.0
823cc7fffffffff,26.0,0.0,0.0
823cdffffffffff,6.0,1.0,0.0
82404ffffffffff,194.0,1.0,0.0
82405ffffffffff,2.0,0.0,0.0
82406ffffffffff,2.0,0.0,0.0
82414ffffffffff,1.0,0.0,0.0
82415ffffffffff,15.0,0.0,1.0
824167fffffffff,3.0,0.0,0.0
82416ffffffffff,2.0,0.0,0.0
826417fffffffff,3.0,0.0,0.0
826487fffffffff,12.0,0.0,1.0
826497fffffffff,49.0,0.0,16.0
82649ffffffffff,1.0,0.0,0.0
8264a7fffffffff,22.0,0.0,1.0
8264b7fffffffff,1.0,0.0,0.0
826937fffffffff,68.0,0.0,14.0
