cell_id,Vireo cassinii,Vireo cassinii cassinii,Vireo cassinii lucasanus
82121ffffffffff,3.0,0.0,0.0
821287fffffffff,58.0,0.0,0.0
82128ffffffffff,435.0,0.0,0.0
82129ffffffffff,2.0,0.0,0.0
8212affffffffff,305.0,0.0,0.0
8212c7fffffffff,479.0,2.0,0.0
8212cffffffffff,1684.0,0.0,0.0
8212d7fffffffff,1497.0,0.0,0.0
8212dffffffffff,3840.0,0.0,0.0
8212f7fffffffff,184.0,0.0,0.0
822687fffffffff,88.0,0.0,0.0
82268ffffffffff,474.0,0.0,0.0
822697fffffffff,399.0,0.0,0.0
82269ffffffffff,187.0,0.0,0.0
8226affffffffff,388.0,0.0,0.0
8226b7fffffffff,1.0,0.0,0.0
8226d7fffffffff,40.0,0.0,0.0
8226f7fffffffff,68.0,0.0,0.0
822797fffffffff,225.0,0.0,0.0
822807fffffffff,2002.0,0.0,0.0
822817fffffffff,3873.0,0.0,0.0
82281ffffffffff,2317.0,0.0,0.0
822837fffffffff,7314.0,10.0,0.0
822887fffffffff,2848.0,10.0,0.0
82288ffffffffff,2167.0,40.0,0.0
822897fffffffff,355.0,0.0,0.0
82289ffffffffff,1775.0,1.0,0.0
8228a7fffffffff,90.0,9.0,0.0
8228affffffffff,2306.0,32.0,0.0
8228b7fffffffff,160.0,0.0,0.0
8228c7fffffffff,53.0,0.0,0.0
8228d7fffffffff,5119.0,0.0,0.0
8228dffffffffff,1221.0,0.0,0.0
8228f7fffffffff,3261.0,0.0,0.0
822917fffffffff,142.0,0.0,0.0
82291ffffffffff,137.0,0.0,0.0
822987fffffffff,595.0,0.0,0.0
82298ffffffffff,3457.0,0.0,0.0
822997fffffffff,174.0,0.0,0.0
8229a7fffffffff,3374.0,0.0,0.0
8229affffffffff,2526.0,0.0,0.0
8229b7fffffffff,975.0,0.0,0.0
824807fffffffff,37.0,0.0,4.0
82480ffffffffff,434.0,0.0,0.0
824817fffffffff,172.0,0.0,0.0
82481ffffffffff,32.0,0.0,0.0
824827fffffffff,54.0,0.0,42.0
82482ffffffffff,513.0,0.0,360.0
824837fffffffff,728.0,0.0,0.0
824847fffffffff,17.0,0.0,0.0
824857fffffffff,7.0,0.0,0.0
82485ffffffffff,131.0,0.0,0.0
824887fffffffff,8.0,0.0,0.0
82488ffffffffff,23.0,0.0,0.0
8248a7fffffffff,86.0,0.0,0.0
8248affffffffff,207.0,0.0,0.0
8248b7fffffffff,4.0,0.0,0.0
8248c7fffffffff,1208.0,0.0,0.0
8248cffffffffff,475.0,5.0,0.0
8248d7fffffffff,286.0,0.0,0.0
8248dffffffffff,761.0,0.0,0.0
8248e7fffffffff,105.0,0.0,0.0
8248effffffffff,7347.0,0.0,0.0
8248f7fffffffff,124.0,0.0,0.0
824987fffffffff,464.0,7.0,0.0
82498ffffffffff,50.0,0.0,0.0
824997fffffffff,1466.0,95.0,0.0
82499ffffffffff,110.0,0.0,0.0
8249a7fffffffff,17.0,0.0,0.0
8249affffffffff,760.0,0.0,0.0
8249b7fffffffff,154.0,0.0,0.0
826d17fffffffff,136.0,5.0,0.0
826d37fffffffff,671.0,20.0,0.0
