cell_id,Leucocarbo atriceps,Leucocarbo atriceps (Blue-eyed),Leucocarbo atriceps (King)
84b2da3ffffffff,9.0,0.0,0.0
84b2da5ffffffff,1.0,0.0,0.0
84b2dabffffffff,1.0,0.0,0.0
84c3019ffffffff,2.0,0.0,0.0
84c3053ffffffff,4.0,0.0,0.0
84c305bffffffff,9.0,0.0,0.0
84c30c3ffffffff,13.0,0.0,0.0
84c3207ffffffff,23.0,0.0,0.0
84c320dffffffff,109.0,0.0,0.0
84c3215ffffffff,13.0,0.0,0.0
84c3239ffffffff,43.0,0.0,0.0
84c323bffffffff,2.0,0.0,0.0
84c3241ffffffff,78.0,0.0,0.0
84c3247ffffffff,8.0,0.0,0.0
84c326bffffffff,11.0,0.0,0.0
84c3297ffffffff,45.0,0.0,0.0
84c329dffffffff,1.0,0.0,0.0
84c32a1ffffffff,2.0,0.0,0.0
84c32a5ffffffff,58.0,0.0,0.0
84c32a7ffffffff,26.0,0.0,0.0
84c32a9ffffffff,36.0,0.0,0.0
84c32adffffffff,193.0,0.0,0.0
84c32b7ffffffff,4.0,0.0,0.0
84c32bbffffffff,8.0,0.0,0.0
84c32e1ffffffff,162.0,0.0,0.0
84c32e3ffffffff,20.0,0.0,0.0
84c32e7ffffffff,3.0,0.0,0.0
84c32edffffffff,9.0,0.0,0.0
84c376dffffffff,9.0,0.0,0.0
84ce10dffffffff,4.0,0.0,0.0
84ce121ffffffff,5.0,1.0,0.0
84ce123ffffffff,4.0,0.0,0.0
84ce127ffffffff,44.0,2.0,0.0
84ce141ffffffff,2.0,0.0,0.0
84ce145ffffffff,10.0,0.0,0.0
84ce147ffffffff,9.0,1.0,0.0
84ce149ffffffff,3.0,0.0,0.0
84ce161ffffffff,1.0,0.0,0.0
84ce169ffffffff,11.0,5.0,0.0
84ce16dffffffff,6.0,0.0,0.0
84ce307ffffffff,2.0,0.0,0.0
84ce325ffffffff,1.0,0.0,0.0
84ce32dffffffff,6.0,0.0,0.0
84ce81dffffffff,9.0,0.0,0.0
84ce85bffffffff,10.0,0.0,0.0
84ce881ffffffff,19.0,0.0,0.0
84ce887ffffffff,5.0,0.0,0.0
84ce889ffffffff,3.0,0.0,0.0
84ce88dffffffff,11.0,0.0,0.0
84ce895ffffffff,7.0,0.0,0.0
84ce8c1ffffffff,36.0,0.0,0.0
84ce8c3ffffffff,25.0,0.0,0.0
84ce8c7ffffffff,35.0,0.0,0.0
84ce8cbffffffff,12.0,0.0,0.0
84cea11ffffffff,177.0,2.0,0.0
84cea13ffffffff,48.0,2.0,0.0
84cea17ffffffff,88.0,0.0,0.0
84cea1bffffffff,3.0,0.0,0.0
84cea53ffffffff,33.0,0.0,0.0
