cell_id,Edolisoma erythropygium,Edolisoma erythropygium ultimum,Edolisoma erythropygium erythropygium/saturatius,Edolisoma erythropygium nisorium
837680fffffffff,5.0,0.0,0.0,0.0
839edafffffffff,1.0,0.0,0.0,0.0
