cell_id,Turdus abyssinicus,Turdus abyssinicus oldeani,Turdus abyssinicus [abyssinicus Group]
826adffffffffff,21.0,0.0,1.0
827a47fffffffff,4.0,0.0,4.0
827a4ffffffffff,4.0,0.0,0.0
827a5ffffffffff,4.0,0.0,0.0
827a67fffffffff,3.0,0.0,0.0
827a6ffffffffff,16.0,0.0,13.0
827acffffffffff,7.0,0.0,2.0
829697fffffffff,6.0,0.0,0.0
