cell_id,Anas fulvigula,Anas fulvigula fulvigula,Anas fulvigula maculosa
8226cffffffffff,36.0,0.0,0.0
822ad7fffffffff,30.0,0.0,0.0
824417fffffffff,14819.0,1844.0,0.0
82441ffffffffff,11102.0,860.0,0.0
824447fffffffff,4660.0,0.0,0.0
82444ffffffffff,12.0,0.0,0.0
824457fffffffff,4306.0,0.0,92.0
82445ffffffffff,71.0,0.0,0.0
824467fffffffff,1527.0,0.0,0.0
82446ffffffffff,18107.0,0.0,1755.0
824477fffffffff,2935.0,0.0,0.0
8244a7fffffffff,2304.0,196.0,0.0
8244affffffffff,29837.0,2854.0,0.0
8244d7fffffffff,6598.0,0.0,0.0
8244f7fffffffff,6224.0,102.0,0.0
82454ffffffffff,2.0,0.0,0.0
824887fffffffff,1343.0,0.0,1.0
824897fffffffff,12108.0,0.0,460.0
82489ffffffffff,5.0,0.0,0.0
8248a7fffffffff,12.0,0.0,0.0
8248b7fffffffff,30734.0,0.0,2587.0
824997fffffffff,1.0,0.0,0.0
82499ffffffffff,9.0,0.0,0.0
